Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Mean,Intensity Median,Intensity Min,Intensity StdDev,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume,Classification
1.46,92.17,9.63,0.26,0.56,18124.00,14166.90,13495.60,10943.00,1802.27,255005.00,66.00,91.61,9.92,2.28,0.64,0.08,1
2.03,91.88,8.79,0.44,0.42,28239.00,16325.00,14502.20,11729.00,3854.01,457100.00,88.00,91.39,9.10,2.46,0.67,0.15,1
2.93,94.47,11.86,0.27,0.36,19805.00,15644.00,15246.90,12733.00,1863.69,469321.00,114.00,93.61,12.32,3.05,0.44,0.14,1
0.33,94.69,12.53,0.34,0.46,17500.00,14004.60,12911.40,12857.00,1764.44,70023.00,20.00,93.81,12.68,2.48,0.65,0.01,1
0.90,92.38,12.65,0.38,0.51,14606.00,12567.00,12863.40,9757.00,1477.53,138237.00,42.00,91.45,12.86,2.54,0.68,0.05,1
0.28,92.83,13.25,0.22,0.61,15483.00,12654.80,11206.40,10959.00,1803.99,50619.00,18.00,91.81,13.44,2.85,0.70,0.01,1
0.80,92.83,13.31,0.56,0.26,17401.00,12605.00,12377.50,10487.00,1903.90,126050.00,40.00,91.78,13.57,3.31,0.65,0.04,1
5.57,93.91,13.59,0.24,0.60,37074.00,18446.60,17174.70,11215.00,5470.31,1770870.00,232.00,92.81,14.16,2.24,0.60,0.58,1
0.81,93.44,13.69,0.23,0.64,16725.00,14280.80,14207.10,12310.00,1497.33,142808.00,38.00,92.36,13.91,2.55,0.62,0.03,1
0.43,93.47,13.88,0.21,0.42,21833.00,14874.80,12865.40,12064.00,3553.25,74374.00,22.00,92.35,14.03,3.43,0.74,0.02,1
2.53,90.76,4.11,0.35,0.40,25700.00,16684.40,15096.50,11562.00,3891.45,533902.00,106.00,90.59,4.73,2.94,0.55,0.15,1
7.61,89.69,6.02,0.23,0.55,32323.00,15567.70,14462.80,10235.00,4129.01,1650180.00,316.00,89.41,6.65,2.46,0.42,0.54,1
0.40,90.16,6.00,0.47,0.32,16098.00,13698.00,12185.00,11139.00,2078.79,54792.00,18.00,89.93,6.20,1.96,0.68,0.01,1
0.53,89.02,6.59,0.03,0.62,16167.00,13514.10,12482.40,11956.00,1465.06,94599.00,30.00,88.69,6.68,3.88,0.52,0.01,1
0.13,89.96,7.54,0.27,0.00,14354.00,13573.70,13141.00,13141.00,552.86,40721.00,14.00,89.55,7.66,3.93,0.67,0.00,1
0.51,90.09,7.01,0.32,0.46,22859.00,18632.30,16201.50,15698.00,2898.78,74529.00,18.00,89.76,7.23,2.80,0.81,0.02,1
4.85,92.38,7.49,0.26,0.58,29604.00,16379.80,14854.80,10819.00,4298.48,1326760.00,204.00,91.99,7.97,2.73,0.57,0.44,1
2.47,90.19,8.14,0.43,0.29,19830.00,14150.10,13403.10,10740.00,2282.00,367903.00,100.00,89.75,8.54,2.60,0.45,0.11,1
0.25,91.03,8.63,0.03,0.98,15997.00,14330.70,11321.00,11321.00,2132.23,42992.00,14.00,90.57,8.71,2.96,0.61,0.01,1
0.49,90.56,7.71,0.52,0.34,18490.00,15190.20,14199.90,13673.00,1703.42,91141.00,24.00,90.17,7.88,2.90,0.79,0.02,1
0.88,90.49,7.98,0.78,0.14,18134.00,14491.30,13478.00,12929.00,1684.43,159404.00,46.00,90.07,8.17,3.16,0.60,0.04,1
0.36,91.14,8.45,0.08,0.53,15806.00,14248.30,13629.50,13621.00,908.26,56993.00,18.00,90.65,8.57,3.93,0.62,0.01,1
4.64,93.06,9.66,0.24,0.58,30264.00,16709.90,15314.20,10935.00,4392.68,1169690.00,204.00,92.45,10.09,3.27,0.56,0.39,1
2.60,92.18,10.77,0.20,0.64,25356.00,15642.30,14539.70,9800.00,3382.40,500552.00,100.00,91.48,11.10,2.61,0.57,0.17,1
0.18,92.41,10.70,0.00,1.98,15936.00,13394.30,12031.00,12031.00,1798.82,40183.00,14.00,91.74,10.76,2.76,0.49,0.00,1
1.04,91.97,11.07,0.50,0.22,19231.00,14210.30,12656.90,10858.00,2618.72,170523.00,48.00,91.21,11.44,2.83,0.61,0.05,1
1.27,94.44,14.51,0.23,0.54,28122.00,18164.30,16767.90,13442.00,3991.31,236136.00,54.00,93.23,14.78,3.03,0.53,0.05,1
1.64,88.97,3.06,0.26,0.60,22340.00,16543.60,14710.60,12324.00,2879.72,347416.00,66.00,88.84,3.33,3.46,0.72,0.12,1
1.66,91.54,4.39,0.36,0.50,20028.00,13610.30,13379.30,10676.00,2233.57,299426.00,76.00,91.36,4.76,3.27,0.63,0.10,1
0.21,91.04,6.00,0.44,0.21,12849.00,12261.80,12070.90,11905.00,357.11,49047.00,18.00,90.80,6.08,2.72,0.55,0.00,1
1.38,91.37,5.69,0.21,0.63,24554.00,18274.90,18457.50,13326.00,3093.65,219299.00,48.00,91.12,5.87,3.37,0.62,0.08,1
1.80,89.56,5.86,0.20,0.36,19705.00,14204.00,13468.10,12138.00,1872.52,298285.00,80.00,89.27,6.03,4.06,0.45,0.07,1
0.30,89.60,5.96,0.39,0.47,17436.00,15226.70,13217.00,13217.00,1728.17,45680.00,14.00,89.32,6.13,3.44,0.76,0.01,1
0.39,89.80,6.09,0.39,0.38,21143.00,16386.00,14730.50,12935.00,3054.82,65544.00,18.00,89.50,6.30,3.77,0.70,0.01,1
0.15,89.48,6.18,0.27,0.00,12884.00,12510.00,12143.00,12143.00,302.56,37530.00,14.00,89.14,6.23,4.71,0.64,0.00,1
5.39,92.16,6.03,0.24,0.66,26193.00,16174.80,15206.80,11468.00,3541.13,1164590.00,226.00,91.86,6.51,3.63,0.46,0.37,1
0.57,91.91,6.75,0.29,0.39,21522.00,16228.30,15005.30,14041.00,2488.66,97370.00,26.00,91.57,6.94,3.70,0.62,0.02,1
0.33,91.51,6.94,0.38,0.00,18387.00,15172.20,13977.70,13943.00,1683.38,75861.00,22.00,91.15,7.10,4.06,0.68,0.01,1
0.48,91.81,6.94,0.26,0.40,17153.00,14988.00,14846.90,13639.00,1191.67,89928.00,26.00,91.42,7.12,4.40,0.66,0.02,1
0.07,90.02,6.92,0.27,0.00,13505.00,12941.30,12511.00,12511.00,416.62,38824.00,14.00,89.65,6.95,4.40,0.47,0.00,1
0.81,94.35,10.42,0.57,0.27,14922.00,11922.50,11453.80,9934.00,1572.95,119225.00,40.00,93.68,10.61,3.58,0.66,0.04,1
2.16,92.22,11.27,0.30,0.64,22138.00,15315.90,14013.10,12186.00,2934.05,413529.00,92.00,91.43,11.62,3.35,0.58,0.13,1
0.26,92.64,11.41,0.22,0.61,15301.00,13973.00,14123.40,12256.00,1094.37,55892.00,18.00,91.87,11.55,3.16,0.72,0.01,1
3.73,94.46,12.55,0.56,0.26,27339.00,17248.20,15827.80,12678.00,3927.38,776169.00,148.00,93.49,13.08,3.56,0.49,0.23,1
0.10,94.88,13.15,0.39,0.47,12662.00,12627.00,12559.00,12559.00,48.02,37881.00,14.00,93.85,13.35,4.05,0.70,0.00,1
0.24,91.47,5.01,0.25,0.44,13042.00,12672.30,12347.00,12347.00,285.49,38017.00,14.00,91.28,5.15,2.76,0.70,0.01,1
2.93,91.34,4.98,0.38,0.47,26992.00,15854.80,14997.40,12370.00,3157.37,602483.00,122.00,91.11,5.42,3.67,0.52,0.18,1
0.32,92.37,8.57,0.25,0.44,17621.00,15895.30,14366.00,14366.00,1336.08,47686.00,14.00,91.91,8.70,2.94,0.76,0.01,1
2.14,91.93,7.65,0.34,0.55,26410.00,17360.50,15541.10,13408.00,3774.55,538175.00,86.00,91.50,8.01,3.82,0.69,0.17,1
0.68,92.94,9.32,0.15,0.85,19005.00,15603.00,14662.80,12689.00,1923.27,109221.00,28.00,92.39,9.49,3.57,0.69,0.03,1
0.98,93.45,10.98,0.31,0.61,20463.00,15635.40,15326.10,11868.00,2223.32,171989.00,38.00,92.69,11.25,3.91,0.76,0.06,1
1.67,93.92,11.55,0.30,0.56,21238.00,15903.10,15115.70,12766.00,2431.28,318062.00,70.00,93.10,11.79,3.70,0.62,0.10,1
0.98,92.34,11.95,0.33,0.53,19943.00,14078.10,13314.60,11901.00,2313.27,140781.00,38.00,91.45,12.17,3.88,0.67,0.05,1
0.75,92.56,12.13,0.26,0.40,16986.00,13463.40,11655.50,10894.00,2062.37,94244.00,28.00,91.62,12.43,4.39,0.67,0.03,1
1.91,89.21,2.19,0.33,0.52,22369.00,15900.60,15021.60,11802.00,2945.15,365713.00,80.00,89.09,2.49,3.98,0.54,0.10,1
0.54,90.78,4.00,0.33,0.55,17768.00,14819.70,13239.00,12615.00,1801.66,103738.00,28.00,90.59,4.23,4.04,0.67,0.02,1
1.25,91.33,4.06,0.15,0.72,18372.00,13928.20,13144.60,11969.00,1707.28,181067.00,52.00,91.14,4.39,4.08,0.58,0.06,
0.78,91.21,9.99,0.66,0.18,13745.00,11919.00,11517.70,10950.00,755.11,131109.00,44.00,90.58,10.18,3.29,0.50,0.02,
1.46,91.61,9.21,0.18,0.66,27881.00,15515.70,13690.00,11590.00,3856.70,263767.00,66.00,91.03,9.45,4.12,0.58,0.07,
0.29,91.50,10.06,0.25,0.44,17215.00,14180.70,11409.00,11409.00,2377.55,42542.00,14.00,90.85,10.17,3.88,0.70,0.01,
0.96,96.03,14.45,0.13,0.62,23144.00,19148.90,19311.80,15539.00,2464.47,191489.00,42.00,94.83,14.62,3.87,0.56,0.04,
0.23,89.48,2.91,0.25,0.44,18597.00,15030.30,12890.00,12890.00,2538.80,45091.00,14.00,89.36,2.99,3.53,0.78,0.01,
0.15,89.83,3.26,0.22,0.61,14746.00,13660.80,13340.70,12965.00,664.72,54643.00,18.00,89.70,3.37,3.44,0.71,0.00,
1.94,89.52,2.47,0.25,0.36,24799.00,16249.30,14958.30,13027.00,2750.01,324986.00,78.00,89.37,2.82,4.26,0.53,0.10,
0.41,89.44,2.47,0.08,0.53,19156.00,16349.50,15798.40,13538.00,2023.04,65398.00,18.00,89.29,2.56,4.45,0.60,0.01,
0.07,89.69,2.97,0.00,1.92,13982.00,13666.00,13242.00,13242.00,311.61,40998.00,14.00,89.54,3.11,4.05,0.56,0.00,
3.57,90.80,4.86,0.26,0.56,28254.00,16998.30,15646.20,12586.00,3491.70,747925.00,142.00,90.55,5.18,4.44,0.53,0.24,
1.33,90.56,5.85,0.13,0.71,18575.00,14880.00,14356.00,12673.00,1669.18,238080.00,58.00,90.22,6.16,4.83,0.55,0.06,
1.07,90.60,5.26,0.51,0.35,16009.00,14004.80,13812.70,12210.00,1239.95,168057.00,50.00,90.26,5.55,5.57,0.52,0.04,
0.34,91.68,8.31,0.58,0.00,15429.00,14181.00,13170.60,13020.00,999.52,70905.00,20.00,91.20,8.41,4.21,0.68,0.01,
1.15,91.99,7.71,0.38,0.51,23097.00,15944.30,14501.80,11813.00,3277.79,207276.00,48.00,91.53,7.99,4.43,0.68,0.06,
0.25,91.71,8.20,0.25,0.44,16759.00,15236.00,12664.00,12664.00,1828.94,45708.00,14.00,91.22,8.28,4.68,0.75,0.01,
4.74,92.41,9.38,0.51,0.34,26907.00,15928.30,15249.80,10776.00,3181.02,1083130.00,206.00,91.79,9.79,4.36,0.50,0.34,
0.62,92.33,11.73,0.33,0.50,18968.00,14911.70,13479.40,11373.00,2809.39,89470.00,26.00,91.45,11.98,4.43,0.74,0.03,
2.59,89.63,1.18,0.16,0.74,22794.00,15091.70,14295.80,11222.00,3468.60,588577.00,102.00,89.50,1.42,4.63,0.67,0.21,
4.15,90.89,7.07,0.23,0.62,39405.00,19468.10,18270.60,12353.00,5535.89,1168080.00,170.00,90.46,7.64,4.52,0.59,0.36,
0.44,91.19,6.60,0.32,0.46,20866.00,17441.30,16066.10,14224.00,2511.90,69765.00,18.00,90.79,6.80,5.03,0.76,0.02,
0.24,90.87,7.21,0.03,0.98,14681.00,14005.70,13552.00,13552.00,486.83,42017.00,14.00,90.43,7.27,5.30,0.50,0.00,
1.72,95.19,14.30,0.17,0.54,19179.00,14352.00,13504.70,11327.00,2086.57,272688.00,68.00,94.07,14.54,0.56,0.60,0.10,
0.43,94.69,14.37,0.13,0.47,15705.00,14114.80,13359.40,11385.00,1580.09,70574.00,22.00,93.57,14.47,1.50,0.61,0.01,
0.22,94.92,14.49,0.39,0.47,18438.00,16096.70,13122.00,13122.00,2215.97,48290.00,14.00,93.77,14.64,1.95,0.81,0.01,
1.06,95.66,14.82,0.55,0.23,18404.00,14324.10,13956.50,11152.00,2139.24,171889.00,46.00,94.47,15.01,0.51,0.59,0.05,
1.12,96.36,17.31,0.42,0.45,19818.00,15040.30,14400.90,10634.00,2929.27,180484.00,48.00,94.74,17.58,0.36,0.68,0.06,
2.48,95.45,12.90,0.37,0.31,19963.00,12919.30,12015.40,8845.00,2561.74,387580.00,110.00,94.51,13.31,1.31,0.48,0.12,
0.30,95.23,13.40,0.25,0.44,16039.00,15358.70,14128.00,14128.00,871.82,46076.00,14.00,94.23,13.59,2.18,0.63,0.01,
3.13,95.67,15.25,0.39,0.40,18438.00,13648.80,13118.00,10184.00,2197.86,559600.00,144.00,94.39,15.59,0.82,0.47,0.17,
0.38,96.41,15.78,0.71,0.16,15511.00,12238.20,10992.60,10205.00,1846.15,61191.00,22.00,95.08,15.94,1.09,0.72,0.01,
0.55,95.84,15.36,0.38,0.44,16436.00,14170.60,13553.80,12593.00,1182.58,113365.00,34.00,94.56,15.49,1.48,0.64,0.02,
0.77,112.87,14.06,0.12,0.39,13285.00,11621.00,11350.60,9822.00,1115.23,92968.00,32.00,111.95,14.31,1.19,0.60,0.03,
3.66,98.07,17.44,0.35,0.34,21611.00,14265.20,13415.40,10451.00,2650.46,613405.00,146.00,96.41,17.93,1.26,0.44,0.19,
0.43,97.83,18.42,0.10,0.00,22334.00,16417.30,14880.20,11240.00,4022.11,65669.00,18.00,96.03,18.52,2.14,0.70,0.02,
0.27,95.57,17.54,0.32,0.46,12273.00,10754.50,10508.30,9584.00,967.60,43018.00,18.00,93.92,17.70,0.25,0.80,0.01,
2.13,95.93,17.67,0.41,0.43,21038.00,14516.70,13569.80,11132.00,2509.62,391952.00,92.00,94.24,17.93,0.91,0.59,0.13,
0.54,96.17,17.49,0.29,0.46,20265.00,16136.40,15365.10,11554.00,2810.76,80682.00,22.00,94.52,17.63,1.48,0.75,0.02,
0.42,96.25,17.17,0.76,0.13,12497.00,11727.90,11365.60,11056.00,535.27,82095.00,30.00,94.65,17.35,2.31,0.62,0.01,
5.52,113.45,17.41,0.20,0.78,41582.00,17572.70,15542.90,9379.00,6036.20,1686980.00,228.00,112.01,17.96,1.23,0.59,0.55,
2.70,95.91,13.84,0.54,0.26,25101.00,15229.60,14305.30,11213.00,3168.61,487346.00,106.00,94.83,14.25,1.54,0.52,0.15,
5.52,113.13,15.43,0.13,0.70,35358.00,16904.20,14903.90,9436.00,5189.55,1369240.00,222.00,112.00,15.89,1.79,0.51,0.44,
0.29,113.33,16.40,0.03,0.98,14162.00,13495.30,12754.00,12754.00,577.24,40486.00,18.00,112.11,16.48,1.79,0.56,0.01,
3.13,97.30,17.34,0.29,0.59,26985.00,15581.50,14318.90,11396.00,3527.95,670006.00,138.00,95.67,17.68,1.19,0.54,0.21,
0.32,97.61,18.28,0.16,0.84,20380.00,15081.80,12429.40,12271.00,3276.25,60327.00,18.00,95.85,18.46,1.13,0.79,0.01,
2.55,96.64,18.02,0.21,0.59,23971.00,15422.80,15242.80,11893.00,2471.14,462683.00,102.00,94.84,18.53,0.89,0.50,0.14,
0.92,96.84,17.82,0.29,0.58,20320.00,16338.90,15862.00,12762.00,2279.10,163389.00,38.00,95.12,18.16,0.86,0.71,0.05,
1.45,112.90,17.04,0.11,0.63,18423.00,13374.40,11670.80,9420.00,3102.23,200616.00,58.00,111.55,17.35,1.39,0.52,0.06,
1.64,96.42,14.17,0.20,0.49,21038.00,14483.10,13792.60,11012.00,2578.79,231730.00,64.00,95.32,14.42,1.78,0.50,0.07,
3.91,112.91,15.81,0.23,0.67,40198.00,17824.90,15876.90,9527.00,5959.42,980371.00,148.00,111.71,16.38,1.64,0.60,0.33,
1.50,96.57,18.26,0.28,0.53,31633.00,19350.90,17872.80,13286.00,4558.05,328966.00,54.00,94.74,18.62,1.81,0.69,0.10,
1.04,95.60,13.76,0.37,0.41,21546.00,16269.80,16007.50,13490.00,2201.54,211508.00,44.00,94.54,14.03,2.27,0.71,0.06,
1.43,113.54,18.12,0.42,0.44,31924.00,19623.70,17498.80,14748.00,4641.53,274732.00,50.00,112.03,18.33,2.20,0.67,0.09,
4.97,96.34,13.96,0.20,0.64,26375.00,18307.50,17308.60,12722.00,3290.87,1043530.00,196.00,95.21,14.38,3.07,0.44,0.30,
3.25,97.24,15.23,0.15,0.79,24523.00,15890.70,15577.70,11286.00,3355.73,730974.00,132.00,95.95,15.53,2.54,0.59,0.25,
0.22,96.91,15.65,0.25,0.44,17272.00,15293.00,14252.00,14252.00,1399.99,45879.00,14.00,95.58,15.73,3.00,0.71,0.01,
0.37,96.31,15.90,0.23,0.37,15354.00,14518.80,14055.60,13586.00,723.47,58075.00,18.00,94.92,16.03,2.98,0.73,0.01,
4.55,96.54,17.75,0.27,0.68,40943.00,17999.50,16268.00,10427.00,5565.30,1475960.00,188.00,94.71,18.50,2.70,0.65,0.48,
1.70,113.19,17.03,0.30,0.64,27433.00,16192.10,14454.10,12600.00,3325.83,404803.00,74.00,111.81,17.43,2.79,0.70,0.12,
1.20,112.81,17.88,0.21,0.74,22056.00,15979.30,14600.10,11849.00,3142.61,239689.00,50.00,111.30,18.16,2.98,0.75,0.08,
2.37,113.40,17.87,0.30,0.63,31122.00,19464.30,17659.40,12887.00,4956.11,642322.00,100.00,111.90,18.16,2.85,0.70,0.20,
0.18,113.90,18.08,0.25,0.44,15823.00,14643.30,13310.00,13310.00,1031.67,43930.00,14.00,112.39,18.21,3.32,0.68,0.00,
0.25,113.87,18.01,0.39,0.47,16342.00,15029.30,14371.00,14371.00,928.20,45088.00,14.00,112.34,18.14,4.06,0.88,0.01,
1.99,95.96,12.44,0.32,0.60,20436.00,13820.10,13010.10,10483.00,2473.19,359323.00,88.00,95.07,12.73,3.15,0.58,0.11,
5.95,95.32,14.54,0.21,0.72,43491.00,21267.90,19619.90,13826.00,5010.51,1850310.00,234.00,94.07,15.06,3.05,0.52,0.51,
0.23,94.84,15.53,0.12,0.93,16371.00,15089.70,13932.00,13932.00,999.55,45269.00,14.00,93.51,15.59,2.57,0.60,0.00,
0.77,95.30,15.97,0.35,0.46,25901.00,15810.70,14127.90,12910.00,4090.80,158107.00,40.00,93.86,16.14,3.40,0.60,0.03,
0.88,98.37,17.01,0.35,0.50,15388.00,11911.00,11444.30,10778.00,1231.18,131021.00,40.00,96.83,17.24,1.82,0.62,0.04,
1.24,98.01,16.43,0.22,0.59,25376.00,15190.80,14246.40,11201.00,3624.20,197480.00,48.00,96.53,16.67,3.08,0.65,0.07,
0.12,97.59,16.30,0.00,1.92,14097.00,12704.70,11809.00,11809.00,997.91,38114.00,14.00,96.14,16.52,2.85,0.63,0.00,
1.99,97.24,16.81,0.21,0.62,29228.00,14590.40,13227.30,10087.00,3976.00,364759.00,82.00,95.67,17.14,3.18,0.63,0.13,
0.92,94.94,11.44,0.49,0.37,18047.00,14069.10,13038.60,10924.00,2071.74,154760.00,40.00,94.15,11.70,3.46,0.65,0.04,
0.36,96.44,15.08,0.60,0.23,15927.00,14613.20,13594.50,13000.00,1132.62,73066.00,22.00,95.21,15.17,2.01,0.65,0.01,
1.11,96.99,14.93,0.46,0.17,21853.00,18416.90,17631.30,15303.00,2019.74,165752.00,38.00,95.75,15.24,2.88,0.58,0.05,
7.15,114.79,14.94,0.29,0.46,37315.00,15831.60,13919.60,9064.00,5726.62,1899800.00,290.00,113.71,15.57,1.81,0.53,0.69,
0.97,131.36,11.87,0.46,0.35,17952.00,14740.20,14017.20,12196.00,1553.01,147402.00,40.00,130.79,12.11,1.50,0.70,0.05,
0.66,115.41,17.62,0.16,0.55,20884.00,11880.00,10394.30,8949.00,3671.06,95040.00,34.00,114.03,17.79,1.21,0.64,0.03,
0.15,115.13,17.87,0.25,0.44,10565.00,10492.00,10455.00,10455.00,51.62,31476.00,14.00,113.69,18.06,1.17,0.68,0.00,
6.42,131.56,12.23,0.39,0.43,28196.00,15578.20,15023.00,9667.00,3403.82,1588970.00,254.00,130.93,12.68,2.00,0.53,0.60,
2.60,114.07,14.80,0.22,0.73,19993.00,14303.90,13910.30,10498.00,2476.40,443421.00,98.00,113.05,15.10,1.90,0.58,0.17,
1.81,115.38,16.74,0.20,0.53,22316.00,12544.90,11276.40,9232.00,2959.89,313622.00,78.00,114.11,16.96,1.84,0.58,0.10,
2.67,131.29,13.67,0.27,0.56,20726.00,15871.10,15122.20,11033.00,2779.87,460263.00,102.00,130.51,14.02,2.64,0.55,0.17,
0.74,114.32,15.23,0.44,0.37,17994.00,14840.80,14330.60,12205.00,1961.71,89045.00,28.00,113.25,15.41,2.30,0.63,0.03,
2.46,115.51,17.31,0.45,0.35,25814.00,15213.40,13569.40,11435.00,3762.71,486830.00,98.00,114.13,17.73,2.15,0.60,0.17,
4.28,131.64,10.98,0.36,0.47,25690.00,16198.30,15284.50,11445.00,3046.35,1004290.00,166.00,131.12,11.44,2.49,0.56,0.35,
1.47,131.91,11.88,0.43,0.26,23464.00,16066.90,15451.70,12194.00,2589.73,273138.00,60.00,131.32,12.23,2.39,0.64,0.09,
2.16,131.53,11.72,0.38,0.50,25153.00,18097.70,17296.70,12661.00,3597.67,488639.00,86.00,130.92,12.30,2.99,0.63,0.15,
5.02,131.38,12.96,0.22,0.59,28234.00,17122.10,16038.30,12545.00,3558.29,1198550.00,192.00,130.64,13.51,3.48,0.51,0.38,
0.26,132.04,13.33,0.47,0.32,16289.00,14706.80,14316.50,13468.00,1023.20,58827.00,18.00,131.30,13.45,3.75,0.85,0.01,
2.70,113.52,14.92,0.30,0.52,25057.00,14827.70,13335.90,10491.00,3383.95,578281.00,124.00,112.45,15.30,3.09,0.64,0.21,
0.26,113.38,15.58,0.25,0.44,14955.00,13027.70,11607.00,11607.00,1412.98,39083.00,14.00,112.23,15.71,3.31,0.67,0.01,
0.21,113.61,16.84,0.25,0.44,14763.00,14025.30,13594.00,13594.00,524.11,42076.00,14.00,112.30,16.91,2.94,0.67,0.01,
1.49,114.10,16.84,0.57,0.27,30854.00,15512.10,14278.00,11910.00,4318.83,248193.00,64.00,112.76,17.16,3.09,0.57,0.07,
0.06,113.81,16.62,0.25,0.44,11518.00,11102.70,10792.00,10792.00,305.47,33308.00,14.00,112.53,16.71,3.32,0.36,0.00,
1.61,114.58,17.39,0.30,0.62,22446.00,15664.00,15056.20,11936.00,2923.64,328945.00,76.00,113.14,17.83,3.39,0.66,0.10,
0.23,114.91,17.59,0.39,0.47,14461.00,13631.30,12402.00,12402.00,886.83,40894.00,14.00,113.49,17.72,3.15,0.83,0.01,
3.78,116.04,18.11,0.38,0.41,22472.00,14494.00,13658.50,11134.00,2648.92,782677.00,156.00,114.49,18.63,3.32,0.55,0.28,
2.10,130.33,12.87,0.45,0.30,21528.00,15820.50,15291.00,12456.00,2271.54,348052.00,80.00,129.61,13.16,3.74,0.49,0.10,
1.63,130.66,13.04,0.52,0.29,22707.00,16185.50,15394.10,13663.00,2290.42,258968.00,60.00,129.93,13.31,3.83,0.50,0.07,
1.40,130.07,12.21,0.35,0.33,16132.00,13625.20,13037.20,10513.00,1775.08,231629.00,60.00,129.39,12.55,4.20,0.64,0.08,
1.26,129.35,13.80,0.29,0.39,22027.00,17160.90,15104.20,14355.00,2846.65,188770.00,46.00,128.52,14.02,4.24,0.62,0.07,
0.15,129.14,14.20,0.25,0.44,15233.00,13898.30,13123.00,13123.00,947.86,41695.00,14.00,128.29,14.27,4.11,0.73,0.00,
5.41,129.13,14.20,0.43,0.24,25936.00,16854.10,15938.70,12466.00,3012.31,1112370.00,210.00,128.19,14.88,4.61,0.45,0.35,
4.16,131.00,14.08,0.25,0.51,26576.00,15956.80,14926.50,11957.00,3017.57,909537.00,170.00,130.12,14.51,4.22,0.53,0.31,
3.44,128.13,15.70,0.32,0.51,23817.00,14517.10,13314.40,10029.00,3152.22,740371.00,148.00,127.03,16.23,4.23,0.58,0.26,
