Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Mean,Intensity Median,Intensity Min,Intensity StdDev,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
13.19,97.73,40.54,0.13,0.70,60714.00,25708.60,23195.30,12929.00,9014.69,6581390.00,516.00,41.22,88.33,7.04,0.50,1.62
0.24,98.49,41.98,0.25,0.44,19792.00,16385.70,14534.00,14534.00,2411.70,49157.00,14.00,42.09,88.70,7.83,0.77,0.01
5.96,97.24,40.68,0.16,0.78,53550.00,25768.10,22832.00,14231.00,8438.71,2654110.00,224.00,41.11,87.75,8.00,0.60,0.64
4.24,98.55,41.40,0.27,0.54,33753.00,19953.00,19497.00,14745.00,3813.88,937791.00,144.00,41.78,88.82,8.89,0.48,0.27
3.80,98.56,41.88,0.29,0.59,24863.00,17422.40,16540.80,12758.00,2878.77,818851.00,148.00,42.37,88.54,8.90,0.52,0.26
0.49,99.15,42.29,0.07,0.00,19626.00,16796.60,15817.50,15027.00,1555.65,83983.00,22.00,42.39,89.14,9.40,0.50,0.01
0.16,98.48,42.04,0.25,0.44,17371.00,15444.00,13645.00,13645.00,1523.82,46332.00,14.00,42.10,88.50,9.69,0.66,0.00
0.28,99.47,41.92,0.14,0.58,13933.00,13159.60,12770.50,12391.00,577.57,65798.00,22.00,41.99,89.82,7.94,0.54,0.01
2.19,99.38,41.83,0.19,0.67,26061.00,17994.00,16940.40,13232.00,3177.20,449849.00,86.00,42.18,89.56,8.82,0.60,0.14
6.70,98.48,40.97,0.17,0.72,42244.00,20286.10,18608.10,11990.00,6192.35,2008320.00,268.00,41.39,88.83,9.71,0.51,0.60
5.14,100.88,42.15,0.50,0.35,42394.00,22113.90,20269.80,13789.00,5320.68,1901800.00,206.00,42.75,90.85,9.79,0.62,0.54
8.18,100.23,41.77,0.51,0.33,36631.00,22271.10,20846.50,14550.00,5063.44,2872970.00,310.00,42.60,90.18,9.99,0.51,0.80
0.21,99.80,42.33,0.32,0.46,19172.00,16503.50,15427.30,15227.00,1580.29,66014.00,18.00,42.46,89.76,9.99,0.74,0.01
0.47,100.81,42.69,0.25,0.50,27323.00,23525.50,20799.40,20062.00,3136.90,94102.00,18.00,43.00,90.52,10.96,0.70,0.02
4.23,100.93,42.75,0.42,0.44,37227.00,22973.80,21558.40,15545.00,4942.87,1217610.00,148.00,43.20,90.64,10.27,0.55,0.33
4.54,101.15,42.93,0.37,0.52,41974.00,21510.40,20052.00,14464.00,5258.37,1656300.00,174.00,43.54,90.61,11.24,0.63,0.46
1.92,102.80,44.51,0.38,0.21,29594.00,16936.20,15929.10,12190.00,3943.17,474214.00,86.00,44.84,91.84,11.03,0.69,0.14
2.06,102.24,44.10,0.33,0.57,25151.00,16405.30,14939.00,13375.00,3126.58,410132.00,84.00,44.42,91.42,11.04,0.55,0.11
2.62,101.68,43.66,0.28,0.63,32977.00,20614.10,19073.10,14909.00,5019.97,700881.00,100.00,44.03,90.94,11.41,0.63,0.20
8.32,102.61,43.94,0.48,0.37,45104.00,23166.60,21920.60,14353.00,6038.36,3428650.00,316.00,44.67,91.58,12.12,0.56,0.95
0.37,101.10,42.43,0.47,0.29,18306.00,16084.00,15522.30,14454.00,1270.28,80420.00,22.00,42.54,91.00,11.35,0.74,0.01
0.38,101.45,42.29,0.32,0.46,18031.00,16130.00,15877.20,13822.00,1535.07,64520.00,18.00,42.47,91.41,11.52,0.82,0.02
1.98,100.56,42.74,0.39,0.37,19267.00,14889.10,13562.90,11929.00,2345.78,312672.00,76.00,43.08,89.98,12.66,0.55,0.11
4.50,103.21,44.88,0.35,0.53,35480.00,21815.40,20082.30,13581.00,5520.87,1614340.00,176.00,45.27,91.90,12.58,0.64,0.46
0.24,103.32,44.82,0.39,0.47,17071.00,15154.70,14132.00,14132.00,1356.07,45464.00,14.00,44.92,92.08,13.35,0.72,0.01
5.71,104.17,45.94,0.33,0.58,31882.00,18723.40,17775.60,12040.00,3860.21,1610210.00,238.00,46.70,92.20,13.00,0.54,0.51
1.68,101.65,43.67,0.26,0.68,23008.00,15303.30,14578.90,10953.00,2755.81,382583.00,74.00,43.93,90.71,13.30,0.74,0.13
0.89,102.77,43.89,0.24,0.75,18498.00,16034.70,15837.20,12191.00,1835.14,160347.00,36.00,44.19,91.84,13.19,0.70,0.05
5.79,104.95,46.82,0.15,0.80,41449.00,20984.10,19286.40,14172.00,5305.09,1909560.00,224.00,47.26,92.70,13.68,0.57,0.56
0.22,104.87,46.60,0.39,0.47,22241.00,16885.00,13599.00,13599.00,3819.66,50655.00,14.00,46.75,92.92,13.36,0.82,0.01
0.23,105.65,46.90,0.32,0.46,17752.00,14565.80,13840.30,12397.00,1965.48,58263.00,18.00,47.00,93.40,15.18,0.79,0.01
2.66,105.87,47.70,0.34,0.34,27873.00,18658.10,17572.10,11891.00,3869.98,559744.00,92.00,48.13,93.22,14.21,0.57,0.18
0.97,105.84,47.39,0.46,0.38,24334.00,18013.40,17275.20,14008.00,3005.59,162121.00,38.00,47.70,93.50,13.62,0.66,0.05
1.33,105.54,47.59,0.15,0.49,22786.00,17993.90,17084.60,14632.00,2739.40,233921.00,54.00,47.77,92.97,14.54,0.53,0.06
0.61,106.30,47.51,0.45,0.23,20742.00,13575.80,12215.30,11126.00,2874.28,108606.00,32.00,47.65,94.14,12.92,0.73,0.03
0.58,107.27,48.62,0.49,0.15,17285.00,14180.00,12643.20,12027.00,1996.57,99260.00,30.00,49.08,94.40,13.66,0.65,0.02
1.16,106.68,47.13,0.24,0.61,17856.00,14896.50,14185.50,12361.00,1707.14,163862.00,46.00,47.40,94.55,13.93,0.58,0.05
0.81,107.35,47.63,0.26,0.42,17751.00,13520.30,12172.50,10918.00,2324.56,121683.00,38.00,47.80,95.03,14.38,0.56,0.03
4.33,103.02,44.91,0.16,0.71,25305.00,15867.30,14938.90,11338.00,3447.12,1031380.00,172.00,45.37,91.32,14.69,0.56,0.35
0.56,102.64,44.77,0.08,0.87,19987.00,16830.00,14261.10,12621.00,2862.47,84150.00,22.00,44.92,91.24,13.85,0.69,0.02
1.64,104.92,47.39,0.29,0.53,22977.00,15952.00,14579.50,12387.00,2863.47,319039.00,72.00,47.66,92.24,15.15,0.59,0.09
1.41,105.03,47.43,0.37,0.49,21611.00,15719.30,14355.50,12324.00,2791.53,251508.00,54.00,47.69,92.20,15.95,0.65,0.08
0.27,105.65,47.15,0.72,0.12,17987.00,15901.80,15232.90,14026.00,1458.72,63607.00,18.00,47.24,93.49,13.77,0.68,0.01
6.34,106.20,47.16,0.24,0.69,44198.00,19938.70,18531.80,13058.00,4663.51,2113500.00,250.00,47.72,93.71,14.80,0.56,0.63
0.53,105.20,46.35,0.06,0.87,18137.00,15230.00,13292.50,12991.00,1980.25,76150.00,22.00,46.50,93.23,14.59,0.63,0.02
1.01,105.46,46.97,0.19,0.83,26118.00,19432.60,18594.20,14721.00,3774.31,213759.00,38.00,47.18,93.21,14.48,0.64,0.05
0.33,105.47,46.45,0.32,0.46,14433.00,13610.50,13487.30,12881.00,552.96,54442.00,18.00,46.61,93.41,15.05,0.74,0.01
0.30,107.01,48.47,0.00,1.98,17641.00,15257.00,13154.00,13154.00,1842.56,45771.00,14.00,48.55,94.22,14.72,0.60,0.01
0.55,106.72,48.20,0.27,0.27,17403.00,15938.50,15520.70,14410.00,1114.19,95631.00,26.00,48.35,93.96,14.90,0.60,0.02
0.25,106.89,48.17,0.03,0.98,18993.00,16347.30,14950.00,14950.00,1871.76,49042.00,14.00,48.26,94.23,14.72,0.51,0.00
1.36,106.92,48.32,0.37,0.45,26436.00,17895.30,17071.20,14449.00,3054.07,232639.00,48.00,48.57,93.96,15.60,0.59,0.07
7.30,107.36,48.02,0.43,0.44,29163.00,19097.40,18550.30,13275.00,3621.76,2196210.00,282.00,48.57,94.32,16.46,0.54,0.73
0.32,107.44,48.05,0.39,0.38,16358.00,15265.50,15381.00,13857.00,898.61,61062.00,18.00,48.21,94.72,15.73,0.73,0.01
0.50,108.05,48.87,0.22,0.25,18701.00,16532.60,14101.10,13855.00,2133.88,82663.00,22.00,49.11,94.67,17.39,0.66,0.02
0.36,107.89,48.72,0.25,0.44,27976.00,19318.70,14480.00,14480.00,6135.81,57956.00,14.00,48.84,94.58,17.59,0.75,0.01
1.17,107.84,49.05,0.36,0.31,24632.00,17158.80,16797.70,14347.00,2644.45,205906.00,48.00,49.27,94.50,16.49,0.59,0.05
2.71,107.49,49.20,0.40,0.43,26695.00,16653.40,15328.60,12146.00,3544.09,632829.00,114.00,49.49,93.88,17.03,0.59,0.19
1.24,108.36,49.04,0.41,0.47,22012.00,15967.30,14645.60,12583.00,2668.78,223542.00,50.00,49.35,94.97,16.96,0.66,0.07
2.11,107.71,48.88,0.51,0.26,26303.00,18876.20,18187.80,14499.00,3176.09,415277.00,78.00,49.20,94.27,17.12,0.56,0.12
5.58,108.56,49.05,0.17,0.81,28943.00,16094.40,15759.50,10991.00,3068.11,1319740.00,232.00,49.75,94.79,18.03,0.53,0.48
0.27,108.73,49.27,0.16,0.84,14943.00,13519.30,12805.80,12221.00,1067.27,54077.00,18.00,49.40,95.17,18.05,0.72,0.01
0.25,108.48,49.41,0.25,0.44,14330.00,11885.00,9649.00,9649.00,1916.71,35655.00,14.00,49.56,94.51,19.48,0.70,0.01
5.09,110.22,50.95,0.28,0.64,31884.00,18798.30,17697.20,12668.00,4243.14,1409870.00,194.00,51.38,95.83,18.04,0.58,0.48
1.28,109.28,50.34,0.44,0.32,20929.00,15715.70,14968.70,12006.00,2671.40,267167.00,54.00,50.59,95.13,18.27,0.66,0.07
0.11,109.53,51.27,0.39,0.47,15869.00,14202.30,12901.00,12901.00,1238.92,42607.00,14.00,51.36,95.08,17.86,0.78,0.00
5.10,110.14,51.07,0.20,0.63,38378.00,21781.70,20536.40,15193.00,5074.00,1524720.00,184.00,51.60,95.46,18.87,0.53,0.42
0.28,110.57,51.83,0.25,0.44,19222.00,17817.70,16970.00,16970.00,1000.11,53453.00,14.00,51.91,95.80,18.85,0.68,0.01
2.16,109.61,50.35,0.30,0.49,24985.00,16401.20,14789.40,12376.00,3451.01,475634.00,98.00,50.72,95.28,19.09,0.58,0.13
7.74,110.26,51.25,0.26,0.42,39608.00,21312.20,19905.20,13200.00,5444.51,2536150.00,296.00,51.97,95.28,19.44,0.50,0.72
0.40,110.76,52.07,0.25,0.44,19239.00,19064.30,18787.00,18787.00,198.23,57193.00,14.00,52.25,95.69,19.54,0.76,0.02
0.25,109.97,51.67,0.39,0.47,22644.00,16796.30,13661.00,13661.00,4138.53,50389.00,14.00,51.82,94.79,20.55,0.80,0.01
0.31,110.44,51.91,0.25,0.44,19340.00,16975.00,14235.00,14235.00,2100.91,50925.00,14.00,52.19,95.10,20.69,0.66,0.01
0.65,110.64,51.26,0.41,0.46,17903.00,16081.60,15434.10,14372.00,1302.84,112571.00,30.00,51.48,95.69,20.81,0.63,0.02
0.25,110.02,51.70,0.25,0.50,14853.00,14107.80,13611.70,13375.00,625.27,56431.00,18.00,51.84,94.71,21.14,0.72,0.01
0.08,110.24,52.19,0.25,0.44,12252.00,12094.30,11916.00,11916.00,137.96,36283.00,14.00,52.30,94.66,21.39,0.60,0.00
0.67,111.17,52.38,0.55,0.30,25434.00,18384.10,16272.00,15742.00,3090.65,128689.00,26.00,52.55,95.93,19.83,0.80,0.04
2.21,112.82,52.72,0.40,0.47,27221.00,17613.30,15773.10,12494.00,3958.97,563626.00,88.00,54.26,96.86,20.02,0.72,0.19
0.82,110.72,52.13,0.34,0.55,26618.00,20106.40,18738.90,17013.00,3377.72,160851.00,34.00,52.31,95.46,20.26,0.76,0.05
2.65,111.24,51.87,0.15,0.73,24733.00,17489.80,16861.90,12371.00,2972.65,489714.00,112.00,52.16,96.05,20.64,0.43,0.11
3.43,112.11,53.70,0.20,0.71,29839.00,17750.10,16254.90,11632.00,4072.26,834255.00,140.00,54.24,95.88,20.88,0.61,0.28
0.50,112.06,53.27,0.60,0.23,18927.00,16280.80,15345.50,14992.00,1386.29,81404.00,22.00,53.48,96.33,20.47,0.63,0.02
0.63,112.43,53.21,0.15,0.56,18871.00,16742.30,16703.40,14396.00,1300.01,100454.00,24.00,53.73,96.58,20.66,0.69,0.03
2.25,113.47,51.55,0.52,0.24,21139.00,14953.10,14002.10,11523.00,2611.84,358874.00,88.00,53.18,98.11,20.56,0.51,0.11
0.21,112.78,52.59,0.39,0.38,13398.00,12596.30,12019.20,11843.00,674.68,50385.00,18.00,53.04,97.27,21.12,0.74,0.01
0.38,113.18,52.13,0.35,0.52,15311.00,12921.60,11729.10,11199.00,1479.44,64608.00,22.00,53.13,97.63,21.36,0.70,0.01
0.25,113.30,52.29,0.32,0.46,13620.00,12885.80,12687.30,12499.00,433.04,51543.00,18.00,53.41,97.54,21.69,0.73,0.01
4.04,111.35,52.35,0.38,0.47,31319.00,19639.60,18281.60,13566.00,3990.53,1021260.00,156.00,52.65,95.89,20.76,0.56,0.32
0.21,111.74,52.85,0.25,0.44,15484.00,14808.70,14089.00,14089.00,570.35,44426.00,14.00,52.94,96.35,20.03,0.66,0.00
0.45,111.68,52.68,0.71,0.16,18772.00,16500.80,14932.10,14242.00,1894.62,82504.00,22.00,52.86,96.00,21.48,0.80,0.02
2.69,112.83,52.87,0.45,0.42,25177.00,18112.10,17432.30,13650.00,2961.41,543363.00,102.00,54.29,96.67,20.97,0.57,0.18
0.23,113.04,52.73,0.25,0.44,17607.00,16119.70,14384.00,14384.00,1327.45,48359.00,14.00,53.96,97.09,20.96,0.72,0.01
2.32,112.50,53.19,0.52,0.23,24544.00,17008.40,16270.00,14161.00,2523.89,510251.00,94.00,53.83,96.39,21.64,0.62,0.16
3.22,113.16,52.87,0.28,0.46,27592.00,16978.80,16219.50,12188.00,3204.32,628217.00,130.00,54.47,96.73,21.93,0.50,0.19
0.54,113.65,52.84,0.30,0.61,19323.00,15014.30,15338.80,11932.00,2450.73,90086.00,22.00,55.11,96.94,21.99,0.79,0.03
0.27,113.96,52.72,0.25,0.44,15937.00,14501.30,13537.00,13537.00,1034.93,43504.00,14.00,55.18,97.15,22.43,0.73,0.01
0.67,114.05,52.70,0.51,0.33,20009.00,15527.60,14350.10,13394.00,2116.01,108693.00,26.00,55.33,97.03,23.06,0.78,0.04
0.21,114.09,52.48,0.72,0.12,13676.00,12323.50,12012.20,11386.00,838.91,49294.00,18.00,54.83,97.30,23.31,0.75,0.01
0.39,114.27,52.56,0.49,0.28,21245.00,14773.40,11882.00,11771.00,3719.20,73867.00,22.00,55.36,97.09,23.83,0.59,0.01
0.68,113.22,52.77,0.57,0.28,24117.00,15189.30,13457.80,12096.00,3740.11,136704.00,36.00,54.01,97.00,22.22,0.70,0.03
0.21,113.54,52.64,0.25,0.44,15075.00,13398.00,11617.00,11617.00,1413.64,40194.00,14.00,54.24,97.18,22.48,0.70,0.01
0.92,113.55,52.57,0.28,0.62,19021.00,15497.10,14176.60,12789.00,2111.62,139474.00,38.00,54.46,97.00,22.78,0.58,0.04
3.87,114.54,52.37,0.25,0.62,32283.00,15811.20,15080.70,10264.00,4047.02,758939.00,150.00,56.06,97.22,22.89,0.50,0.25
10.56,115.12,52.11,0.22,0.68,39805.00,19942.50,18132.30,13385.00,5180.23,3589660.00,420.00,56.45,97.30,24.49,0.49,1.11
0.09,115.66,52.02,0.25,0.44,13180.00,12956.00,12643.00,12643.00,228.08,38868.00,14.00,56.88,97.83,23.90,0.60,0.00
0.18,115.03,52.95,0.00,1.98,16327.00,14775.00,13938.00,13938.00,1098.56,44325.00,14.00,56.89,96.89,24.67,0.52,0.00
0.67,115.67,52.53,0.12,0.27,26037.00,19719.20,16643.10,15443.00,4288.63,118315.00,26.00,57.04,97.30,25.66,0.61,0.02
0.37,115.55,52.19,0.22,0.61,18303.00,15765.30,13602.30,13025.00,2458.68,63061.00,22.00,56.38,97.62,25.36,0.69,0.01
2.19,115.90,51.87,0.28,0.65,25701.00,19028.70,18167.10,14152.00,3398.38,418632.00,86.00,56.92,97.61,25.82,0.51,0.11
0.49,115.50,52.55,0.23,0.77,18969.00,16315.00,15652.40,14199.00,1559.68,97890.00,24.00,56.58,97.26,26.08,0.72,0.02
0.25,115.99,52.00,0.25,0.44,15866.00,14894.70,13129.00,13129.00,1250.60,44684.00,14.00,56.52,97.89,26.01,0.69,0.01
0.13,116.15,51.98,0.39,0.47,15530.00,13661.00,12119.00,12119.00,1411.60,40983.00,14.00,56.67,97.85,26.55,0.75,0.00
2.93,115.46,52.65,0.18,0.76,31750.00,18797.20,17962.00,13366.00,3647.43,639105.00,100.00,57.13,97.00,25.64,0.58,0.21
3.61,115.75,52.41,0.32,0.38,27800.00,18253.40,16918.30,13291.00,3735.97,730136.00,142.00,57.20,97.06,26.58,0.49,0.22
0.19,116.29,52.27,0.25,0.44,13999.00,13747.70,13542.00,13542.00,189.31,41243.00,14.00,57.83,97.59,25.58,0.67,0.00
5.79,116.30,52.16,0.30,0.51,25030.00,17355.00,16372.10,12292.00,3170.73,1232210.00,228.00,57.77,97.29,26.85,0.44,0.38
0.37,117.03,51.81,0.32,0.46,18650.00,16245.00,15622.20,14505.00,1516.41,64980.00,18.00,58.13,97.98,26.77,0.73,0.01
8.95,118.08,51.01,0.22,0.61,26722.00,17453.90,16705.60,11900.00,3210.96,1919930.00,350.00,59.76,98.05,27.54,0.38,0.58
0.49,118.03,51.41,0.08,0.53,18335.00,17193.50,16781.50,16519.00,694.31,68774.00,18.00,59.24,98.36,27.35,0.65,0.02
0.31,118.74,50.95,0.39,0.47,17301.00,16491.00,15105.00,15105.00,984.69,49473.00,14.00,59.58,98.80,28.05,0.86,0.01
0.36,119.04,50.76,0.16,0.40,21340.00,15858.80,14356.70,12827.00,3254.76,63435.00,18.00,59.63,99.06,28.29,0.76,0.01
5.24,117.54,51.39,0.25,0.51,27198.00,16941.40,16035.00,11916.00,3190.28,1050370.00,206.00,58.84,98.11,26.97,0.42,0.31
0.39,117.51,52.08,0.47,0.29,16504.00,15311.60,14753.40,14521.00,699.56,76558.00,22.00,58.93,97.73,27.98,0.73,0.01
1.46,117.61,52.28,0.25,0.58,21236.00,14664.60,13424.10,11847.00,2610.35,293292.00,74.00,59.93,97.39,27.48,0.58,0.07
1.64,117.08,51.84,0.24,0.73,22314.00,16681.10,15062.10,13557.00,2681.34,300260.00,72.00,58.30,97.80,27.24,0.50,0.07
0.24,116.86,52.26,0.39,0.47,20262.00,16249.70,13854.00,13854.00,2854.91,48749.00,14.00,58.23,97.53,27.42,0.77,0.01
0.65,117.45,51.79,0.47,0.39,21009.00,16618.30,14835.80,14138.00,2708.10,132946.00,30.00,58.57,97.94,27.80,0.76,0.03
0.24,117.83,51.59,0.12,0.93,16368.00,15233.70,14457.00,14457.00,820.13,45701.00,14.00,58.78,98.19,28.06,0.66,0.01
0.12,118.87,52.14,0.39,0.47,15878.00,13155.00,11484.00,11484.00,1941.96,39465.00,14.00,60.61,97.71,30.15,0.80,0.00
1.33,118.45,51.54,0.27,0.69,26478.00,18107.00,16220.60,14859.00,3454.32,235391.00,54.00,59.90,98.17,28.35,0.48,0.05
1.29,118.16,51.62,0.25,0.67,23181.00,16607.00,15020.20,12940.00,3060.61,215891.00,52.00,59.36,97.97,28.98,0.57,0.06
0.38,118.68,51.33,0.39,0.47,21942.00,18697.30,16728.00,16728.00,2311.75,56092.00,14.00,59.57,98.38,29.27,0.81,0.02
0.59,118.65,51.63,0.53,0.32,20629.00,16005.00,14724.50,13881.00,2196.58,128040.00,30.00,59.67,98.16,29.70,0.72,0.03
0.80,118.42,51.69,0.36,0.45,22253.00,17339.40,16158.00,13909.00,2332.63,156055.00,34.00,59.75,98.01,29.11,0.71,0.04
1.64,119.00,51.10,0.42,0.41,26889.00,17993.70,16899.20,14711.00,3450.11,323886.00,64.00,60.02,98.59,28.94,0.57,0.09
1.38,119.16,50.78,0.32,0.32,24448.00,16606.60,15656.80,12603.00,2868.67,265705.00,58.00,59.70,98.85,29.36,0.60,0.07
10.74,119.33,51.01,0.13,0.73,27823.00,17093.20,16420.20,12378.00,3274.56,2632360.00,414.00,60.37,98.44,30.06,0.41,0.85
1.62,119.19,51.69,0.52,0.33,20851.00,15354.30,14029.90,12496.00,2274.96,291731.00,62.00,60.45,97.92,31.03,0.66,0.10
0.44,119.54,51.54,0.25,0.44,18246.00,16338.70,12682.00,12682.00,2586.46,49016.00,18.00,60.38,98.29,31.37,0.54,0.01
0.46,119.29,52.12,0.39,0.38,17093.00,13999.00,13102.10,11933.00,1913.24,55996.00,18.00,60.66,97.65,31.86,0.75,0.02
1.04,119.32,51.84,0.47,0.35,18776.00,13530.00,12791.80,11303.00,2175.12,148830.00,42.00,60.43,97.87,31.71,0.65,0.05
1.14,120.26,50.83,0.31,0.61,22969.00,16073.60,14528.50,12872.00,2909.36,225030.00,48.00,60.74,98.79,31.85,0.77,0.08
3.36,120.43,50.82,0.37,0.51,32961.00,17970.70,15793.50,12893.00,4875.48,826654.00,124.00,60.82,98.72,32.54,0.61,0.27
0.35,120.36,51.37,0.00,1.98,18055.00,15179.00,12939.00,12939.00,2136.47,45537.00,14.00,60.70,98.49,33.19,0.54,0.01
2.86,120.86,50.79,0.52,0.34,32322.00,18726.10,17360.10,13266.00,5101.34,730317.00,106.00,60.98,98.83,33.48,0.65,0.24
1.66,121.05,50.85,0.36,0.25,25244.00,17033.80,16406.30,12948.00,2813.91,391777.00,70.00,61.07,98.76,34.19,0.75,0.13
0.58,121.51,50.27,0.70,0.14,21313.00,16966.40,15571.40,13577.00,2621.10,84832.00,22.00,61.08,99.48,33.73,0.69,0.02
4.55,121.79,50.16,0.39,0.37,24460.00,18456.30,18357.90,13381.00,2623.26,959727.00,170.00,61.28,99.39,34.64,0.52,0.34
0.40,121.72,50.35,0.32,0.46,20197.00,17196.00,16299.00,13759.00,2418.70,68784.00,18.00,60.80,99.41,35.18,0.76,0.02
0.20,120.16,51.16,0.25,0.44,16136.00,13128.00,11399.00,11399.00,2134.90,39384.00,14.00,59.82,98.64,33.63,0.70,0.00
0.31,120.42,50.93,0.25,0.44,15462.00,14584.30,14053.00,14053.00,625.19,43753.00,14.00,59.71,98.90,33.94,0.77,0.01
1.38,120.19,51.19,0.29,0.26,14910.00,12636.70,12234.60,10656.00,1440.62,189551.00,60.00,59.72,98.44,34.48,0.51,0.06
2.25,121.97,50.42,0.31,0.52,27482.00,17043.80,15761.70,12917.00,3655.51,426095.00,88.00,61.73,99.21,34.99,0.53,0.12
2.28,121.59,50.75,0.24,0.68,24800.00,17306.70,16579.40,13896.00,2401.71,449975.00,94.00,61.17,98.91,35.49,0.55,0.13
1.91,122.30,50.10,0.59,0.28,29783.00,18848.30,17753.70,13660.00,3514.24,433511.00,72.00,61.60,99.50,35.55,0.64,0.13
1.47,121.92,50.33,0.45,0.32,23612.00,19706.80,19828.20,15333.00,2281.50,256188.00,48.00,61.11,99.38,35.41,0.64,0.09
4.84,122.31,50.35,0.26,0.52,27689.00,17536.90,16490.80,12912.00,3446.56,824235.00,180.00,61.66,99.16,36.41,0.39,0.25
3.41,122.17,50.06,0.43,0.38,24590.00,18568.00,16926.70,13928.00,3111.84,649880.00,114.00,61.13,99.42,36.13,0.50,0.21
5.69,122.69,49.96,0.19,0.53,27929.00,17681.10,16748.90,12705.00,3342.37,1166950.00,208.00,61.33,99.56,37.15,0.43,0.36
0.19,122.79,50.40,0.39,0.47,15504.00,15053.70,14287.00,14287.00,544.85,45161.00,14.00,61.67,99.39,37.36,0.83,0.01
0.26,122.78,50.67,0.27,0.00,17668.00,15177.00,13375.00,13375.00,1819.07,45531.00,14.00,61.17,99.21,38.61,0.71,0.01
1.67,122.59,50.52,0.48,0.37,25255.00,17542.60,17339.60,13542.00,3077.15,350851.00,64.00,61.33,99.27,37.57,0.66,0.11
0.39,123.79,49.18,0.27,0.00,16767.00,15197.00,14012.00,14012.00,1157.20,45591.00,14.00,60.63,100.66,38.93,0.71,0.01
1.48,123.88,49.27,0.21,0.66,19605.00,14368.90,13050.90,11577.00,2478.38,201164.00,56.00,60.79,100.42,39.60,0.51,0.06
0.19,123.98,49.71,0.39,0.38,12755.00,12091.30,11645.20,11481.00,539.61,48365.00,18.00,60.96,100.10,40.45,0.64,0.00
1.15,123.16,49.99,0.36,0.53,20134.00,16267.30,15320.40,13473.00,2080.69,211475.00,46.00,61.23,99.64,38.62,0.68,0.06
