Value,Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Mean,Intensity Median,Intensity Min,Intensity StdDev,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
,0.40,150.21,20.48,0.32,0.40,8634.00,7217.00,6368.06,6217.00,882.80,36085.00,22.00,76.29,129.34,3.60,0.71,0.01
,0.30,150.38,20.21,0.16,0.84,7607.00,7005.00,6747.32,6716.00,358.72,28020.00,18.00,76.20,129.58,4.23,0.72,0.01
,0.75,149.39,21.09,0.49,0.37,13589.00,10201.30,9640.34,7572.00,1764.25,71409.00,28.00,75.89,128.59,4.84,0.73,0.04
,0.21,139.42,11.13,0.39,0.47,5853.00,5335.67,4580.00,4580.00,546.34,16007.00,14.00,14.03,138.71,0.16,0.85,0.01
,0.33,139.58,10.96,0.08,0.53,8436.00,6249.50,4322.09,4102.00,2035.18,24998.00,18.00,13.83,138.89,0.49,0.58,0.01
,0.22,139.26,11.19,0.22,0.61,5089.00,4577.00,4463.78,4153.00,337.09,18308.00,18.00,13.77,138.57,0.45,0.83,0.01
,0.33,139.99,10.40,0.32,0.46,6440.00,5640.00,5227.22,4864.00,623.40,22560.00,18.00,12.46,139.44,0.35,0.79,0.01
,0.54,140.26,9.87,0.43,0.43,8078.00,6202.57,5441.19,5334.00,1077.04,43418.00,28.00,10.95,139.83,0.18,0.76,0.02
,0.31,140.40,9.81,0.39,0.47,8415.00,6787.00,4886.00,4886.00,1453.58,20361.00,14.00,10.99,139.97,0.73,0.73,0.01
,2.03,140.34,8.11,0.27,0.69,9620.00,6751.57,6834.13,4376.00,1456.53,155286.00,88.00,8.63,140.08,0.25,0.57,0.12
,4.84,141.41,8.16,0.32,0.43,38025.00,12903.10,10497.70,5847.00,6798.51,1083860.00,198.00,9.69,141.08,0.37,0.66,0.54
,0.23,140.97,9.18,0.39,0.47,11134.00,8083.67,6474.00,6474.00,2158.02,24251.00,14.00,9.88,140.63,0.74,0.79,0.01
,0.39,142.38,8.07,0.35,0.23,6086.00,5211.00,5081.67,4794.00,388.22,36477.00,30.00,14.66,141.62,0.16,0.67,0.01
,0.61,141.68,6.00,0.38,0.29,8193.00,6645.67,6960.72,4837.00,1111.34,39874.00,26.00,6.27,141.54,0.33,0.68,0.03
,2.77,142.05,6.29,0.49,0.36,16680.00,7920.94,6663.84,4809.00,3041.81,285154.00,124.00,6.71,141.89,0.28,0.58,0.19
,0.29,141.95,5.88,0.36,0.29,6706.00,5710.00,5315.10,5276.00,583.82,22840.00,16.00,6.01,141.82,0.30,0.71,0.01
,0.95,142.40,7.41,0.39,0.39,9245.00,6805.23,6505.77,4601.00,1141.25,88468.00,42.00,7.67,142.19,0.20,0.80,0.06
,4.21,140.08,10.58,0.29,0.65,11505.00,6854.88,6353.11,4776.00,1700.46,335889.00,156.00,17.81,138.94,0.52,0.45,0.24
,2.99,139.76,10.63,0.50,0.31,11696.00,7593.77,7409.96,4923.00,1506.46,303751.00,116.00,15.42,138.91,0.55,0.63,0.24
,0.41,139.80,10.81,0.54,0.32,7783.00,6150.00,5198.84,5038.00,992.98,30750.00,22.00,15.63,138.91,1.28,0.72,0.02
,6.98,140.56,9.64,0.38,0.50,13578.00,7888.11,7228.78,4978.00,1893.79,638937.00,280.00,14.83,139.77,0.79,0.40,0.45
,0.53,140.08,10.40,0.40,0.25,9941.00,6309.14,5233.36,4438.00,1741.45,44164.00,30.00,15.06,139.26,1.61,0.65,0.02
,3.37,140.80,9.52,0.43,0.33,12568.00,8284.48,7875.13,5742.00,1709.08,381086.00,142.00,15.82,139.90,0.41,0.57,0.25
,0.39,141.25,9.48,0.25,0.44,12018.00,8478.00,5763.00,5763.00,2619.38,25434.00,14.00,15.94,140.35,0.30,0.75,0.01
,0.28,141.12,9.63,0.39,0.47,8568.00,7383.00,5317.00,5317.00,1466.15,22149.00,14.00,16.12,140.20,0.75,0.83,0.01
,2.39,140.68,9.40,0.35,0.54,12261.00,7485.61,6985.55,5039.00,1930.06,209597.00,100.00,12.63,140.12,0.46,0.58,0.15
,0.41,140.83,9.48,0.25,0.44,9152.00,8183.00,6554.00,6554.00,1158.76,24549.00,14.00,12.24,140.29,0.22,0.78,0.02
,0.77,140.85,9.26,0.32,0.43,7679.00,5905.64,5473.73,5192.00,850.70,64962.00,42.00,11.80,140.36,0.37,0.63,0.03
,0.31,140.34,10.03,0.16,0.84,7289.00,5968.75,4841.84,4803.00,1151.55,23875.00,18.00,12.61,139.77,0.51,0.78,0.01
,2.99,140.85,9.47,0.23,0.65,12590.00,8356.41,7623.13,5526.00,1928.53,242336.00,102.00,13.83,140.17,0.63,0.52,0.18
,0.24,141.12,9.31,0.47,0.32,8361.00,6593.25,6056.25,5727.00,1036.34,26373.00,18.00,13.34,140.49,0.15,0.77,0.01
,0.24,141.51,8.96,0.25,0.44,5838.00,5650.33,5545.00,5545.00,133.03,16951.00,14.00,13.55,140.85,0.69,0.68,0.01
,0.14,140.30,10.12,0.39,0.47,5635.00,5321.00,5091.00,5091.00,229.90,15963.00,14.00,13.35,139.67,0.73,0.76,0.00
,0.40,139.55,11.28,0.21,0.42,6565.00,5625.20,5188.94,5133.00,517.07,28126.00,22.00,16.57,138.57,0.48,0.71,0.01
,0.06,139.21,11.63,0.39,0.47,4498.00,4418.00,4354.00,4354.00,59.87,13254.00,14.00,16.43,138.24,0.45,0.77,0.00
,1.83,140.01,10.54,0.48,0.22,9842.00,6920.56,6339.27,4942.00,1381.55,124570.00,74.00,16.86,138.99,0.90,0.48,0.08
,0.81,141.10,9.32,0.30,0.43,13352.00,8172.14,6234.35,5975.00,2436.69,57205.00,28.00,14.14,140.39,0.73,0.73,0.04
,6.41,141.13,8.74,0.32,0.59,17831.00,9686.72,9067.47,4863.00,3330.23,1007420.00,256.00,10.70,140.73,0.74,0.55,0.63
,0.19,140.72,9.52,0.39,0.47,5765.00,5058.33,4532.00,4532.00,519.27,15175.00,14.00,10.95,140.28,1.63,0.71,0.00
,1.59,140.23,10.43,0.31,0.30,10259.00,6666.53,6153.53,5004.00,1446.92,126664.00,74.00,16.39,139.26,0.79,0.53,0.07
,0.85,140.51,10.22,0.05,0.54,10796.00,8212.43,7004.61,5894.00,1744.55,57487.00,32.00,16.12,139.58,0.53,0.59,0.03
,4.32,140.17,10.36,0.29,0.65,11828.00,7231.40,6767.67,5383.00,1467.74,303719.00,156.00,17.32,139.09,1.41,0.42,0.23
,0.18,139.72,11.27,0.25,0.44,5420.00,5026.67,4773.00,4773.00,282.00,15080.00,14.00,17.94,138.55,2.10,0.60,0.00
,0.57,139.99,10.96,0.12,0.56,6948.00,5752.33,5198.06,4874.00,731.65,34514.00,26.00,17.74,138.85,2.42,0.59,0.02
,0.25,140.59,10.38,0.00,1.92,7478.00,6527.67,5078.00,5078.00,1041.48,19583.00,14.00,17.46,139.48,2.55,0.75,0.01
,0.24,142.20,8.24,0.25,0.44,6144.00,5533.67,4929.00,4929.00,496.04,16601.00,14.00,13.54,141.55,0.59,0.69,0.01
,0.28,142.01,8.49,0.16,0.84,6284.00,5224.75,4857.48,4730.00,620.30,20899.00,18.00,13.95,141.32,0.94,0.74,0.01
,1.47,141.11,9.66,0.16,0.63,8103.00,6301.64,6291.75,4743.00,1119.74,88223.00,54.00,17.75,139.98,1.42,0.51,0.06
,0.60,141.44,9.49,0.31,0.26,6357.00,5145.57,4890.01,4211.00,717.29,36019.00,30.00,17.95,140.29,1.50,0.56,0.02
,0.40,141.74,8.89,0.54,0.32,8224.00,5666.40,4744.35,4351.00,1395.20,28332.00,22.00,15.19,140.91,1.32,0.80,0.02
,0.44,140.40,10.23,0.22,0.61,9153.00,7916.25,7282.34,7275.00,765.15,31665.00,18.00,15.44,139.54,1.64,0.81,0.02
,0.19,140.53,10.17,0.10,0.57,5147.00,4716.50,4667.37,4306.00,298.75,18866.00,18.00,15.27,139.68,1.95,0.60,0.00
,0.56,140.84,9.91,0.32,0.46,10251.00,8305.00,7768.41,6759.00,1271.51,33220.00,18.00,16.98,139.81,1.59,0.76,0.03
,0.94,140.69,9.96,0.40,0.35,10211.00,6118.18,5394.03,4502.00,1626.08,67300.00,46.00,17.01,139.64,2.12,0.64,0.04
,6.12,140.24,10.52,0.24,0.59,14959.00,6974.33,6320.50,4327.00,1940.54,613741.00,236.00,18.65,138.98,1.98,0.49,0.48
,0.17,140.54,10.45,0.25,0.44,6064.00,5807.67,5351.00,5351.00,323.72,17423.00,14.00,17.93,139.38,1.86,0.67,0.00
,0.19,140.50,10.53,0.39,0.47,6293.00,5996.67,5426.00,5426.00,403.63,17990.00,14.00,18.14,139.30,2.24,0.83,0.01
,0.32,141.07,9.78,0.25,0.50,8807.00,6706.75,5238.86,4285.00,1972.73,26827.00,18.00,17.18,140.00,2.26,0.74,0.01
,1.03,139.78,11.12,0.37,0.38,10497.00,5715.50,4919.91,4235.00,1639.72,68586.00,44.00,17.87,138.60,2.90,0.63,0.05
,0.31,139.03,12.86,0.12,0.93,7723.00,6250.67,4376.00,4376.00,1395.71,18752.00,14.00,23.75,136.98,0.74,0.74,0.01
,0.68,139.65,11.77,0.35,0.42,8077.00,5722.78,5513.36,4471.00,983.16,51505.00,32.00,21.84,137.93,0.85,0.76,0.04
,0.24,139.94,11.46,0.22,0.61,5082.00,4705.50,4565.03,4514.00,223.48,18822.00,18.00,21.37,138.29,0.73,0.81,0.01
,0.29,140.37,10.69,0.72,0.12,5990.00,4811.75,4288.34,3865.00,812.57,19247.00,18.00,19.40,139.02,0.21,0.60,0.01
,3.33,139.95,11.00,0.25,0.69,13362.00,6278.77,5743.19,3985.00,1881.54,269987.00,138.00,19.23,138.61,1.21,0.52,0.21
,0.17,138.91,12.65,0.12,0.93,6830.00,5461.00,4691.00,4691.00,970.54,16383.00,14.00,22.77,137.03,1.03,0.63,0.00
,0.67,139.49,12.13,0.29,0.55,8545.00,6992.29,6293.83,5155.00,1080.33,48946.00,30.00,22.71,137.63,1.24,0.68,0.03
,1.13,140.77,10.21,0.20,0.69,10484.00,6978.73,6494.44,4681.00,1847.38,76766.00,44.00,18.75,139.51,1.26,0.63,0.06
,0.59,141.13,9.94,0.49,0.28,7090.00,5105.13,4697.07,4267.00,839.99,40841.00,34.00,18.86,139.85,1.67,0.65,0.02
,0.34,140.85,10.24,0.16,0.84,6036.00,5540.00,5578.79,4591.00,573.71,22160.00,18.00,19.07,139.54,1.83,0.77,0.01
,0.69,140.78,9.96,0.61,0.13,6373.00,5456.38,5569.72,4433.00,541.38,43651.00,34.00,18.94,139.48,2.28,0.54,0.02
,0.46,137.29,14.52,0.23,0.79,5240.00,4654.67,4498.75,3769.00,479.30,27928.00,24.00,23.46,135.26,1.83,0.70,0.02
,2.98,139.51,11.70,0.21,0.57,8417.00,6474.59,6347.08,4632.00,1175.59,220136.00,128.00,21.66,137.80,1.77,0.47,0.16
,1.09,139.90,11.27,0.49,0.32,10968.00,6198.70,5741.37,4071.00,1943.50,61987.00,42.00,20.39,138.40,1.71,0.58,0.05
,0.69,153.29,0.00,0.16,0.36,8287.00,6494.43,5437.56,4279.00,1392.51,45461.00,30.00,32.68,149.76,1.69,0.59,0.02
,2.05,153.34,0.00,0.41,0.46,30881.00,12537.90,10329.80,6524.00,5799.01,300910.00,76.00,32.81,149.77,2.57,0.64,0.14
,3.81,137.96,13.99,0.22,0.72,12183.00,6607.16,6076.35,4482.00,1679.90,284108.00,154.00,25.31,135.59,2.87,0.45,0.21
,0.36,138.27,13.79,0.22,0.61,8338.00,6587.00,5511.41,5219.00,1281.44,26348.00,18.00,25.19,135.93,2.86,0.76,0.01
,0.28,138.53,13.67,0.25,0.50,7599.00,5582.75,4929.01,4390.00,1218.73,22331.00,18.00,25.58,136.13,2.25,0.72,0.01
,0.31,138.54,13.73,0.32,0.46,6684.00,5578.00,5123.96,5013.00,662.32,22312.00,18.00,25.94,136.06,2.60,0.78,0.01
,1.28,138.77,12.90,0.25,0.53,10904.00,7835.45,7238.49,5859.00,1604.71,86190.00,46.00,23.81,136.70,2.08,0.58,0.06
,0.31,138.65,13.16,0.25,0.44,6699.00,6335.00,6095.00,6095.00,261.71,19005.00,14.00,23.66,136.61,2.03,0.68,0.01
,0.98,139.31,12.99,0.30,0.36,8427.00,5264.92,4831.76,4065.00,1448.42,63179.00,48.00,26.32,136.78,2.47,0.57,0.04
,2.17,139.78,12.00,0.18,0.67,10417.00,6426.60,6001.23,4590.00,1506.50,160665.00,92.00,24.45,137.60,2.48,0.51,0.11
,0.30,139.41,12.56,0.39,0.47,8239.00,6632.67,5328.00,5328.00,1207.40,19898.00,14.00,24.49,137.21,2.53,0.74,0.01
,0.30,139.85,12.14,0.36,0.29,7827.00,6215.75,5389.50,5227.00,1035.96,24863.00,16.00,24.14,137.72,2.65,0.72,0.01
,2.01,139.51,11.55,0.52,0.33,7302.00,5445.95,5147.12,4352.00,871.87,114365.00,80.00,20.47,137.97,2.37,0.48,0.09
,0.34,139.80,11.53,0.00,1.92,7377.00,6672.67,5582.00,5582.00,782.07,20018.00,14.00,21.02,138.20,1.35,0.73,0.01
,2.20,139.78,11.46,0.31,0.56,8342.00,6112.00,5745.03,4543.00,1088.51,152800.00,90.00,21.19,138.15,2.07,0.51,0.11
,0.30,139.91,11.24,0.22,0.61,7237.00,5379.75,4654.97,4593.00,1084.64,21519.00,18.00,20.05,138.45,2.24,0.80,0.01
,0.21,140.10,11.29,0.25,0.44,5300.00,4892.67,4614.00,4614.00,294.47,14678.00,14.00,20.32,138.59,2.41,0.69,0.00
,0.14,140.70,10.90,0.25,0.44,4700.00,4172.67,3606.00,3606.00,447.49,12518.00,14.00,22.33,138.92,0.59,0.63,0.00
,0.30,140.74,10.89,0.25,0.44,6694.00,5865.67,4310.00,4310.00,1100.80,17597.00,14.00,22.62,138.90,1.53,0.73,0.01
,2.76,140.68,10.69,0.40,0.43,8365.00,6269.55,5880.15,4688.00,995.95,194356.00,112.00,22.37,138.87,2.42,0.49,0.15
,0.18,140.44,11.28,0.25,0.44,6712.00,6113.00,5696.00,5696.00,434.29,18339.00,14.00,22.43,138.60,3.31,0.70,0.00
,0.84,153.59,0.00,0.19,0.24,10165.00,8242.22,7803.70,5908.00,1247.61,74180.00,36.00,33.60,149.85,2.50,0.66,0.04
,2.50,138.17,13.35,0.16,0.44,10155.00,6653.04,6260.48,4677.00,1301.23,172979.00,104.00,23.51,136.12,3.09,0.45,0.11
,2.54,138.50,12.99,0.51,0.26,12347.00,7599.69,6729.52,5084.00,1902.22,220391.00,96.00,22.58,136.63,2.38,0.56,0.16
,0.13,138.77,12.93,0.39,0.47,7151.00,6855.33,6601.00,6601.00,226.43,20566.00,14.00,22.72,136.87,2.86,0.81,0.00
,5.75,139.69,11.57,0.34,0.54,35710.00,11971.00,10451.00,5064.00,5521.83,1161180.00,228.00,22.78,137.80,2.27,0.58,0.58
,0.28,138.35,13.57,0.25,0.44,8314.00,6256.67,5111.00,5111.00,1457.89,18770.00,14.00,23.95,136.23,2.47,0.70,0.01
,5.39,138.89,12.57,0.32,0.59,10381.00,7371.74,7199.22,5353.00,1246.40,427561.00,206.00,23.99,136.77,2.93,0.39,0.29
,0.62,138.84,13.19,0.29,0.35,10411.00,6592.33,5577.29,5481.00,1754.09,39554.00,26.00,24.50,136.61,3.79,0.68,0.03
,0.50,139.03,12.88,0.20,0.61,9079.00,7238.20,6303.77,5805.00,1138.75,36191.00,22.00,24.22,136.85,3.87,0.76,0.02
,0.10,139.25,12.65,0.39,0.47,5891.00,5668.00,5453.00,5453.00,178.90,17004.00,14.00,23.56,137.18,4.06,0.69,0.00
,0.39,138.63,13.74,0.25,0.44,9917.00,7118.00,5503.00,5503.00,1987.00,21354.00,14.00,26.72,135.99,3.00,0.74,0.01
,1.03,138.33,13.27,0.24,0.58,11305.00,7629.90,7020.89,5279.00,1899.36,76299.00,40.00,22.65,136.43,2.87,0.64,0.05
,0.31,139.79,11.84,0.27,0.00,10612.00,8555.33,6835.00,6835.00,1560.19,25666.00,14.00,22.10,138.01,2.44,0.75,0.01
,9.66,139.71,11.42,0.70,0.19,32838.00,10683.50,8995.91,5950.00,4825.80,1260650.00,356.00,22.74,137.80,3.38,0.39,0.70
,0.19,140.26,11.40,0.25,0.44,6352.00,5617.67,5226.00,5226.00,519.64,16853.00,14.00,22.07,138.46,3.83,0.76,0.00
,0.58,140.67,10.92,0.21,0.59,6835.00,6250.00,5962.40,5796.00,385.81,37500.00,26.00,22.23,138.87,3.11,0.64,0.02
,0.73,153.85,0.02,0.43,0.44,9834.00,5681.44,4788.90,4519.00,1618.66,51133.00,36.00,35.31,149.70,3.24,0.75,0.04
,0.17,138.00,13.83,0.39,0.47,5349.00,4927.00,4089.00,4089.00,592.56,14781.00,14.00,23.44,135.99,1.35,0.83,0.01
,0.70,138.01,13.75,0.24,0.26,7896.00,6565.67,6271.02,5572.00,884.79,39394.00,26.00,23.25,136.02,2.40,0.56,0.02
,0.41,137.86,13.99,0.27,0.00,10120.00,7889.33,5630.00,5630.00,1833.15,23668.00,14.00,23.34,135.83,3.33,0.75,0.02
,1.47,138.54,13.64,0.25,0.51,9666.00,7021.31,5971.68,5607.00,1499.83,112341.00,58.00,26.24,135.99,3.34,0.62,0.08
,0.80,138.64,13.35,0.19,0.74,8141.00,6685.75,6050.34,5151.00,1122.54,53486.00,32.00,24.93,136.33,3.41,0.72,0.04
,1.56,138.65,13.40,0.22,0.60,8205.00,6468.00,6568.21,5078.00,1001.99,103488.00,60.00,25.06,136.30,3.99,0.54,0.07
,0.22,138.96,13.18,0.39,0.47,7650.00,6156.00,5172.00,5172.00,1073.99,18468.00,14.00,24.99,136.63,4.35,0.85,0.01
,0.33,139.27,13.18,0.53,0.32,5228.00,5000.60,4950.45,4464.00,285.66,25003.00,22.00,26.72,136.65,3.42,0.79,0.01
,2.89,140.15,11.51,0.25,0.57,13782.00,8234.56,7493.25,5397.00,2184.02,279975.00,114.00,23.53,138.12,3.20,0.54,0.19
,0.21,139.87,12.01,0.25,0.44,6268.00,5668.00,4946.00,4946.00,546.55,17004.00,14.00,23.34,137.83,4.54,0.69,0.01
,0.22,139.55,12.38,0.25,0.44,5650.00,5106.00,4395.00,4395.00,525.78,15318.00,14.00,23.67,137.45,4.78,0.70,0.01
,0.65,153.17,0.24,0.39,0.49,12300.00,8840.86,7395.00,6540.00,1919.47,61886.00,26.00,33.34,149.47,2.70,0.75,0.03
,8.20,153.32,0.00,0.32,0.40,26546.00,12226.60,10677.20,6335.00,4255.06,1234880.00,288.00,32.96,149.68,3.72,0.43,0.63
,0.21,153.27,0.05,0.39,0.47,7325.00,6330.67,5458.00,5458.00,767.04,18992.00,14.00,32.27,149.76,4.68,0.80,0.01
,0.35,138.69,13.34,0.25,0.44,7796.00,7158.00,6276.00,6276.00,644.08,21474.00,14.00,24.67,136.43,3.68,0.78,0.01
,0.63,152.82,0.64,0.65,0.22,8384.00,7341.43,6818.38,6714.00,651.09,51390.00,30.00,33.74,149.01,3.64,0.75,0.03
,0.27,137.70,14.64,0.39,0.38,5767.00,5437.75,5607.67,4634.00,467.76,21751.00,18.00,25.95,135.19,3.12,0.78,0.01
,1.76,137.71,14.49,0.55,0.22,9383.00,6823.50,6634.45,5244.00,1229.24,122823.00,72.00,25.90,135.19,4.03,0.55,0.09
,2.16,138.10,13.91,0.28,0.62,10622.00,7038.10,6359.39,5193.00,1314.63,147800.00,86.00,25.54,135.66,3.85,0.47,0.10
,1.68,140.01,11.57,0.31,0.62,14004.00,8064.53,6939.73,6002.00,1999.26,120968.00,60.00,22.79,138.09,3.99,0.51,0.07
,5.00,138.54,13.47,0.42,0.27,14042.00,7860.62,7179.29,5169.00,2200.80,408752.00,190.00,26.33,135.94,4.44,0.44,0.31
,0.23,138.99,12.78,0.39,0.47,7943.00,6294.33,5323.00,5323.00,1171.94,18883.00,14.00,22.73,137.05,4.35,0.77,0.01
,3.12,152.86,0.45,0.32,0.60,13052.00,8295.72,8012.63,5722.00,1694.19,298646.00,114.00,33.47,149.10,4.21,0.51,0.19
,0.21,152.66,1.01,0.25,0.44,9374.00,6914.00,5615.00,5615.00,1740.39,20742.00,14.00,33.76,148.81,4.60,0.73,0.01
,1.65,153.90,0.00,0.22,0.56,8801.00,6235.42,5478.15,4826.00,1378.96,118473.00,66.00,35.43,149.71,4.15,0.56,0.08
,1.25,137.74,14.43,0.28,0.50,10326.00,6819.07,6586.00,4886.00,1468.65,95467.00,50.00,25.95,135.19,4.72,0.63,0.07
,1.79,138.73,13.69,0.31,0.53,8816.00,6297.29,6098.70,4522.00,1147.31,107054.00,70.00,27.22,135.96,4.52,0.48,0.07
,0.08,152.95,0.94,0.39,0.47,4817.00,4673.33,4482.00,4482.00,140.85,14020.00,14.00,34.73,148.90,4.06,0.72,0.00
,0.37,152.79,1.16,0.16,0.84,6882.00,5594.50,5179.44,5103.00,744.41,22378.00,18.00,34.95,148.66,4.77,0.71,0.01
,3.25,151.50,17.26,0.28,0.52,18374.00,9795.00,9225.00,6363.00,2793.50,352620.00,126.00,74.00,132.20,0.29,0.51,0.20
,0.64,151.89,17.61,0.63,0.20,8633.00,6370.00,6064.33,5644.00,855.07,63700.00,40.00,74.85,132.17,0.57,0.60,0.02
