Area,Distance from Origin,Distance to Image Border XY,Ellipticity (oblate),Ellipticity (prolate),Intensity Max,Intensity Mean,Intensity Median,Intensity Min,Intensity StdDev,Intensity Sum,Number of Vertices,Position X,Position Y,Position Z,Sphericity,Volume
2.08,54.99,11.40,0.19,0.61,13132.00,9669.38,9409.58,6984.00,1656.93,203057.00,82.00,11.70,53.64,3.04,0.54,0.11
0.38,55.46,11.86,0.32,0.46,9886.00,9227.50,9136.84,8422.00,534.74,36910.00,18.00,12.02,54.07,2.78,0.75,0.01
2.53,54.48,12.52,0.60,0.18,16090.00,10189.50,9444.10,6793.00,2427.69,285307.00,88.00,12.92,52.83,3.17,0.59,0.17
0.26,54.99,12.61,0.10,0.57,6261.00,5683.75,5376.53,5348.00,368.38,22735.00,18.00,12.67,53.46,2.20,0.56,0.01
5.84,55.89,10.55,0.30,0.64,54625.00,17620.00,14335.90,7313.00,8537.05,1797240.00,214.00,11.13,54.68,3.21,0.65,0.70
2.24,55.79,9.69,0.46,0.33,13124.00,9367.15,8923.67,6096.00,2059.55,243546.00,98.00,9.98,54.80,3.18,0.59,0.14
0.66,55.14,9.74,0.49,0.26,12610.00,10391.50,10315.00,7269.00,2144.45,62349.00,22.00,9.97,54.12,3.45,0.81,0.04
1.14,55.52,12.00,0.41,0.24,13937.00,10740.90,9962.70,8467.00,1984.97,118150.00,44.00,12.27,54.02,3.60,0.64,0.06
4.63,56.42,10.29,0.33,0.47,21303.00,11356.60,10249.60,6488.00,3521.88,772250.00,176.00,10.77,55.28,3.28,0.61,0.45
0.37,55.28,13.33,0.25,0.44,10216.00,9332.00,8434.00,8434.00,727.57,27996.00,14.00,13.47,53.51,3.33,0.73,0.01
0.37,54.62,11.53,0.53,0.27,8755.00,7611.17,7542.09,6657.00,627.41,45667.00,26.00,11.70,53.23,3.68,0.66,0.01
2.78,54.73,10.67,0.27,0.35,15831.00,9155.36,8514.13,6512.00,2057.26,302127.00,110.00,11.16,53.43,4.00,0.54,0.17
0.41,55.25,10.54,0.32,0.46,11561.00,9780.00,8460.03,8360.00,1398.50,39120.00,18.00,10.72,54.07,3.81,0.78,0.02
3.46,56.21,11.36,0.31,0.46,22969.00,13163.00,12614.40,7284.00,3800.50,592336.00,120.00,11.82,54.85,3.38,0.64,0.31
3.89,54.12,11.12,0.24,0.74,14261.00,8523.68,8223.25,5626.00,2023.78,375042.00,148.00,11.54,52.69,4.45,0.48,0.24
3.33,54.60,9.86,0.28,0.67,19147.00,9653.00,8739.45,5050.00,3400.44,501956.00,126.00,10.23,53.47,4.14,0.68,0.32
3.05,55.15,9.72,0.46,0.40,14216.00,8832.00,8375.45,5623.00,1946.55,353280.00,114.00,10.12,54.07,4.05,0.60,0.23
4.37,56.09,12.30,0.61,0.26,37229.00,11439.50,10202.00,6341.00,4489.96,709248.00,166.00,12.81,54.46,4.03,0.60,0.40
0.47,55.94,12.01,0.32,0.46,12219.00,9866.00,8847.54,8400.00,1477.92,39464.00,18.00,12.15,54.49,3.63,0.70,0.02
3.97,55.57,12.28,0.44,0.43,36713.00,14861.00,12965.10,8697.00,5393.64,1099710.00,156.00,12.78,53.89,4.52,0.72,0.45
0.70,55.22,11.69,0.72,0.18,10617.00,9083.50,8865.50,7832.00,807.99,72668.00,32.00,12.00,53.69,4.75,0.65,0.03
0.27,55.40,12.20,0.39,0.47,12488.00,9822.33,8064.00,8064.00,1916.66,29467.00,14.00,12.34,53.75,5.27,0.79,0.01
2.04,57.42,9.59,0.40,0.47,13183.00,6974.66,6444.43,4768.00,1763.47,202265.00,82.00,10.05,56.54,0.31,0.65,0.14
3.86,63.61,13.44,0.33,0.46,16269.00,9263.27,8619.00,6477.00,2002.23,416847.00,154.00,14.14,62.01,0.51,0.49,0.25
3.33,64.82,11.76,0.29,0.62,25494.00,12103.30,10561.50,5584.00,5094.37,544650.00,134.00,12.43,63.61,0.28,0.64,0.29
4.89,65.49,11.40,0.26,0.67,24562.00,11424.90,10400.10,4965.00,4194.58,868289.00,200.00,12.03,64.37,0.30,0.64,0.52
0.14,65.44,11.63,0.25,0.44,5464.00,5077.67,4777.00,4777.00,286.93,15233.00,14.00,11.74,64.37,1.16,0.69,0.00
1.38,66.73,12.22,0.38,0.43,13537.00,7390.50,6066.61,4724.00,2394.45,147810.00,70.00,12.53,65.54,0.34,0.67,0.08
0.67,67.29,12.76,0.15,0.77,11727.00,6838.50,5977.43,4881.00,2232.50,54708.00,30.00,12.96,66.03,0.32,0.70,0.03
0.98,67.39,13.18,0.41,0.44,10732.00,6578.67,6190.83,4581.00,1665.92,78944.00,36.00,13.40,66.04,0.30,0.74,0.06
1.01,66.95,11.42,0.42,0.45,12141.00,8008.40,7410.77,5801.00,1836.64,80084.00,40.00,11.60,65.94,0.23,0.55,0.04
0.98,69.57,13.03,0.47,0.27,10044.00,6970.92,5985.16,5000.00,1807.45,83651.00,50.00,13.33,68.28,0.19,0.66,0.05
0.88,70.09,12.44,0.52,0.31,8978.00,7926.78,7639.04,6476.00,846.86,71341.00,36.00,12.75,68.92,0.26,0.62,0.04
1.06,72.27,12.75,0.40,0.30,12501.00,7902.00,7018.39,5448.00,2099.71,110628.00,48.00,13.08,71.07,0.29,0.75,0.07
1.85,73.50,10.45,0.39,0.42,10722.00,6041.44,5599.34,4165.00,1562.22,151036.00,82.00,10.83,72.69,0.29,0.64,0.12
0.44,73.48,11.06,0.21,0.42,8094.00,5584.80,4897.73,4847.00,1257.39,27924.00,22.00,11.29,72.60,0.78,0.66,0.01
0.09,73.55,11.02,0.25,0.44,5148.00,4754.67,4555.00,4555.00,278.14,14264.00,14.00,11.09,72.70,1.16,0.51,0.00
1.48,74.12,14.06,0.44,0.28,12588.00,8450.78,7714.73,5206.00,2241.44,152114.00,60.00,14.45,72.69,0.29,0.74,0.11
0.61,74.92,14.60,0.69,0.19,11040.00,7874.75,7325.88,6333.00,1497.33,62998.00,34.00,14.83,73.44,0.19,0.76,0.03
0.22,75.59,13.92,0.39,0.47,8510.00,7779.00,7223.00,7223.00,539.79,23337.00,14.00,14.08,74.27,0.16,0.88,0.01
2.76,76.14,13.56,0.53,0.32,14930.00,8665.11,8099.81,6483.00,1740.72,233958.00,96.00,14.00,74.84,0.51,0.46,0.14
0.37,64.39,14.47,0.16,0.84,11326.00,9084.00,8527.15,7453.00,1413.68,36336.00,18.00,14.59,62.71,0.30,0.75,0.01
4.73,64.87,14.24,0.25,0.74,32936.00,11680.70,9278.34,6256.00,5593.23,1004540.00,188.00,14.76,63.17,0.65,0.67,0.53
0.46,65.26,14.90,0.71,0.16,8576.00,7202.00,6902.56,5601.00,1002.70,36010.00,22.00,15.09,63.48,1.41,0.72,0.02
0.50,66.57,11.59,0.32,0.40,10172.00,7893.40,6727.64,6573.00,1397.70,39467.00,22.00,11.85,65.50,0.33,0.73,0.02
2.63,66.81,10.68,0.43,0.43,12002.00,6769.94,6572.90,4687.00,1409.79,209868.00,108.00,11.10,65.88,0.52,0.51,0.15
2.21,67.61,11.51,0.24,0.54,12578.00,8433.73,7639.60,4916.00,2069.32,219277.00,80.00,11.82,66.56,0.59,0.63,0.15
2.30,67.75,10.71,0.47,0.39,16602.00,8153.26,7665.45,4368.00,2847.63,277211.00,96.00,11.11,66.84,0.44,0.72,0.20
1.95,68.55,12.60,0.49,0.36,14427.00,7386.43,6643.88,4939.00,2369.40,169888.00,82.00,13.12,67.28,0.31,0.60,0.12
3.60,68.64,11.01,0.43,0.29,15716.00,7846.19,7184.42,5510.00,2281.68,290309.00,136.00,11.56,67.66,0.65,0.47,0.21
0.25,68.96,11.27,0.27,0.00,7036.00,6226.00,5752.00,5752.00,575.52,18678.00,14.00,11.39,68.00,1.19,0.70,0.01
0.23,68.59,12.17,0.39,0.47,6975.00,6639.33,6381.00,6381.00,248.59,19918.00,14.00,12.33,67.47,0.18,0.82,0.01
1.89,68.87,12.36,0.35,0.48,12123.00,7358.89,6613.56,5106.00,1812.89,132460.00,68.00,12.67,67.69,0.67,0.55,0.10
0.94,70.21,13.00,0.20,0.64,11182.00,7992.00,7757.08,6311.00,1376.28,87912.00,40.00,13.20,68.95,0.52,0.76,0.06
0.14,70.02,13.04,0.00,1.92,6954.00,6367.33,5974.00,5974.00,422.79,19102.00,14.00,13.21,68.75,1.05,0.61,0.00
2.19,69.98,11.10,0.33,0.53,19160.00,9865.55,7614.92,5540.00,4193.64,286101.00,92.00,11.47,69.03,0.54,0.70,0.18
6.31,71.44,12.85,0.36,0.53,18615.00,10095.00,9818.36,5598.00,2724.73,1019600.00,248.00,13.41,70.17,0.55,0.57,0.65
1.82,71.77,11.65,0.40,0.47,10610.00,7887.50,7799.55,6085.00,1251.54,157750.00,74.00,12.08,70.74,0.43,0.52,0.09
2.92,71.68,10.90,0.31,0.56,16022.00,8580.51,8076.22,4967.00,2691.35,351801.00,126.00,11.33,70.78,0.62,0.65,0.24
0.21,72.06,11.60,0.12,0.93,7599.00,6721.67,6282.00,6282.00,620.37,20165.00,14.00,11.79,71.09,0.15,0.73,0.01
0.66,73.80,15.19,0.28,0.67,6627.00,5397.63,4943.63,4483.00,730.11,43181.00,32.00,15.41,72.17,0.36,0.73,0.03
0.28,74.46,11.99,0.39,0.47,9124.00,7977.67,6519.00,6519.00,1086.18,23933.00,14.00,12.14,73.46,0.45,0.84,0.01
5.24,74.41,11.05,0.62,0.20,16814.00,8166.58,7521.21,5037.00,2243.83,636993.00,220.00,11.52,73.51,0.55,0.54,0.44
1.52,74.93,13.41,0.59,0.23,9292.00,6617.00,6102.48,5614.00,1108.32,125723.00,76.00,13.87,73.63,0.60,0.51,0.06
1.62,75.45,12.42,0.49,0.29,9792.00,6770.32,6570.62,5159.00,1213.26,148947.00,74.00,12.80,74.36,0.31,0.64,0.10
1.97,62.96,12.39,0.25,0.45,11646.00,7763.27,7688.88,5580.00,1585.27,201845.00,74.00,12.77,61.64,1.07,0.65,0.13
1.49,69.44,10.98,0.35,0.42,11257.00,6897.50,6255.75,4950.00,1572.35,124155.00,58.00,11.28,68.51,1.00,0.64,0.09
8.39,71.00,11.35,0.37,0.39,17625.00,9684.42,8980.00,5977.00,2589.46,1113710.00,328.00,12.05,69.96,0.62,0.44,0.67
0.31,71.71,12.15,0.25,0.44,8860.00,8176.00,7637.00,7637.00,509.71,24528.00,14.00,12.28,70.65,0.34,0.67,0.01
0.25,70.44,12.33,0.39,0.38,7033.00,6687.50,6552.80,6191.00,340.21,26750.00,18.00,12.48,69.31,0.95,0.71,0.01
4.59,75.74,10.91,0.49,0.36,17016.00,8927.54,8313.05,4973.00,2607.13,607073.00,198.00,11.54,74.86,0.69,0.57,0.39
1.68,62.28,13.29,0.55,0.31,11999.00,7408.00,6907.16,4953.00,1794.26,148160.00,64.00,13.59,60.77,1.05,0.64,0.10
0.39,63.44,14.20,0.22,0.61,12680.00,8892.50,7463.77,7162.00,2222.76,35570.00,20.00,14.41,61.78,0.15,0.87,0.02
11.87,63.64,14.50,0.64,0.23,40972.00,13758.90,11530.40,6239.00,6007.61,2944400.00,468.00,15.10,61.81,1.34,0.50,1.37
1.69,67.95,11.43,0.57,0.23,12121.00,7153.78,6131.01,5119.00,1962.22,128768.00,66.00,11.82,66.91,1.05,0.55,0.08
0.53,72.99,14.50,0.16,0.84,7835.00,7250.50,7368.52,6304.00,572.35,29002.00,18.00,14.70,71.49,0.92,0.77,0.02
1.23,73.32,14.79,0.36,0.53,9355.00,6329.00,5653.29,4593.00,1360.33,107593.00,58.00,15.19,71.72,0.89,0.72,0.08
0.58,74.65,15.04,0.30,0.61,13519.00,8903.33,7318.43,6136.00,2727.17,53420.00,22.00,15.22,73.07,1.01,0.82,0.03
0.80,74.91,2.28,0.59,0.23,8989.00,7449.00,7474.50,5960.00,933.54,44694.00,30.00,2.61,74.86,0.85,0.60,0.03
1.34,76.25,13.57,0.26,0.34,10870.00,7524.69,5925.40,5529.00,2036.77,97821.00,56.00,13.89,74.96,1.24,0.51,0.05
0.31,63.77,12.44,0.39,0.47,9358.00,7792.00,6076.00,6076.00,1344.06,23376.00,14.00,12.60,62.51,0.16,0.77,0.01
8.22,63.72,12.39,0.60,0.25,15341.00,9350.44,8872.19,5365.00,2257.46,1150100.00,332.00,12.94,62.38,1.07,0.49,0.77
0.56,62.92,12.27,0.04,0.64,9211.00,6330.60,5310.81,5185.00,1478.70,31653.00,26.00,12.37,61.68,1.24,0.55,0.02
0.19,63.17,12.89,0.39,0.47,7153.00,6946.33,6696.00,6696.00,189.10,20839.00,14.00,13.00,61.78,2.00,0.75,0.01
3.01,64.95,12.88,0.40,0.41,14321.00,7519.81,7248.27,4741.00,1734.96,315832.00,134.00,13.33,63.56,1.14,0.60,0.23
1.48,68.85,11.69,0.47,0.39,9623.00,7183.41,6569.05,5051.00,1386.88,122118.00,52.00,11.97,67.79,1.25,0.67,0.09
0.33,73.12,2.34,0.25,0.50,6663.00,5890.25,5727.07,4834.00,695.38,23561.00,18.00,2.45,73.07,1.35,0.73,0.01
2.92,74.47,0.70,0.20,0.67,14316.00,8938.34,8587.25,5150.00,2269.44,366472.00,110.00,1.11,74.45,1.39,0.66,0.25
1.00,75.92,12.25,0.27,0.41,10203.00,8011.70,7487.12,6089.00,1478.29,80117.00,36.00,12.48,74.87,1.54,0.74,0.06
0.29,75.94,12.01,0.32,0.46,6805.00,6226.00,6161.86,5700.00,392.47,24904.00,18.00,12.16,74.94,1.70,0.76,0.01
2.27,62.30,13.38,0.36,0.47,15761.00,8999.87,8435.98,6095.00,2219.09,278996.00,88.00,13.75,60.74,1.71,0.66,0.17
0.35,71.80,14.43,0.25,0.44,8671.00,7653.33,5651.00,5651.00,1415.93,22960.00,14.00,14.56,70.28,1.78,0.75,0.01
0.43,71.87,14.62,0.13,0.47,8840.00,6941.60,6103.13,5820.00,1061.35,34708.00,22.00,14.75,70.30,2.44,0.67,0.01
0.57,72.24,10.97,0.33,0.43,10140.00,7011.40,5626.56,4585.00,1902.38,35057.00,22.00,11.16,71.36,1.51,0.70,0.02
1.25,74.61,11.03,0.39,0.44,7992.00,6152.77,5516.35,4870.00,1091.46,79986.00,58.00,11.28,73.73,1.64,0.53,0.05
5.14,74.21,2.63,0.29,0.57,19717.00,9483.05,8769.57,5774.00,2909.23,777610.00,206.00,3.15,74.12,1.81,0.58,0.49
12.49,75.76,14.46,0.24,0.75,46664.00,16679.60,13347.00,6049.00,8841.27,4470140.00,494.00,15.06,74.23,1.49,0.57,1.79
0.22,75.53,14.20,0.39,0.38,9088.00,7947.25,7638.25,7223.00,694.67,31789.00,18.00,14.39,74.15,0.18,0.75,0.01
2.16,62.91,14.99,0.32,0.58,22223.00,11854.50,11888.90,6661.00,3505.82,367490.00,78.00,15.30,60.99,1.98,0.76,0.20
2.38,62.72,13.28,0.25,0.59,15581.00,9828.42,9509.48,6438.00,2234.43,235882.00,86.00,13.67,61.18,1.80,0.58,0.15
0.67,72.07,13.90,0.35,0.55,8539.00,6950.38,6815.02,5577.00,1040.01,55603.00,32.00,14.14,70.65,1.96,0.76,0.03
1.87,71.80,11.67,0.17,0.81,10608.00,7111.70,6540.23,5295.00,1419.48,142234.00,74.00,11.95,70.77,2.05,0.58,0.11
1.33,72.80,13.85,0.20,0.59,10326.00,6659.43,6057.94,5073.00,1277.59,93232.00,56.00,14.09,71.40,2.01,0.55,0.06
5.68,73.07,14.68,0.25,0.61,24879.00,9199.06,7478.41,5081.00,3832.15,855513.00,230.00,15.18,71.45,2.10,0.57,0.55
1.80,73.27,1.96,0.37,0.40,13401.00,8234.95,7225.00,5456.00,2294.19,156464.00,72.00,2.35,73.20,2.17,0.55,0.09
7.36,75.00,1.62,0.72,0.16,22460.00,10306.70,8965.04,6009.00,3114.07,968834.00,278.00,2.32,74.94,1.61,0.43,0.54
5.22,63.95,15.08,0.22,0.67,29814.00,12512.70,11693.30,7724.00,4269.80,888400.00,192.00,15.59,61.97,2.45,0.53,0.44
1.00,67.91,15.81,0.33,0.55,11330.00,7340.45,6620.00,5050.00,1946.60,80745.00,40.00,16.03,65.95,2.24,0.67,0.05
1.81,73.52,14.01,0.44,0.40,9838.00,6623.00,6120.18,5452.00,975.67,125837.00,78.00,14.34,72.07,2.33,0.46,0.07
4.09,74.69,14.76,0.18,0.79,17958.00,10370.00,9668.19,5691.00,2936.25,570351.00,156.00,15.15,73.12,1.92,0.59,0.35
0.30,74.71,14.62,0.25,0.44,8125.00,6601.33,5630.00,5630.00,1090.89,19804.00,14.00,14.77,73.15,3.41,0.74,0.01
6.54,67.17,14.21,0.27,0.62,23347.00,11351.10,10530.00,5611.00,3852.32,1362130.00,258.00,14.78,65.48,2.37,0.62,0.77
1.09,69.81,17.08,0.33,0.58,9001.00,5998.00,5730.59,4426.00,1312.08,71976.00,46.00,17.33,67.58,2.28,0.63,0.05
10.25,70.39,12.76,0.41,0.41,32532.00,12842.50,11380.70,5593.00,5540.93,3069360.00,432.00,13.62,69.01,2.47,0.63,1.55
0.19,70.25,13.77,0.25,0.44,7824.00,6830.67,6118.00,6118.00,724.20,20492.00,14.00,13.84,68.78,3.54,0.68,0.00
0.20,70.98,13.03,0.12,0.93,6736.00,6166.67,5810.00,5810.00,406.85,18500.00,14.00,13.10,69.67,3.45,0.68,0.00
1.70,72.18,13.90,0.30,0.63,13228.00,7383.84,6667.73,5663.00,1585.27,184596.00,70.00,14.27,70.71,2.52,0.78,0.14
0.40,72.41,14.39,0.21,0.42,8415.00,6386.20,5807.23,5266.00,1073.46,31931.00,22.00,14.54,70.92,1.33,0.65,0.01
0.34,72.57,14.63,0.25,0.44,8379.00,7968.67,7419.00,7419.00,404.12,23906.00,14.00,14.73,71.04,1.75,0.75,0.01
0.36,72.29,14.64,0.32,0.46,6825.00,6607.00,6637.94,6169.00,262.55,26428.00,18.00,14.76,70.74,2.03,0.67,0.01
1.08,72.46,15.02,0.50,0.36,8538.00,7104.09,6959.45,6028.00,776.71,78145.00,40.00,15.26,70.79,2.62,0.64,0.05
0.17,62.33,15.68,0.12,0.93,6383.00,5801.00,4879.00,4879.00,659.40,17403.00,14.00,15.74,60.28,1.95,0.69,0.00
2.57,62.51,15.60,0.32,0.59,13793.00,9326.68,9192.86,5836.00,2326.67,317107.00,102.00,16.00,60.36,2.99,0.65,0.20
3.80,63.59,15.79,0.60,0.26,19260.00,10255.00,9490.63,6500.00,2944.20,564026.00,162.00,16.21,61.42,2.86,0.62,0.34
2.36,63.08,12.33,0.41,0.46,11236.00,7665.24,7349.24,5383.00,1597.06,260618.00,96.00,12.78,61.71,2.59,0.71,0.20
0.25,64.22,14.68,0.00,1.92,8553.00,8290.00,7976.00,7976.00,238.31,24870.00,14.00,14.86,62.45,1.94,0.72,0.01
0.91,64.10,14.65,0.39,0.37,16635.00,10453.30,8961.45,7145.00,2816.64,83626.00,32.00,14.92,62.29,2.37,0.66,0.04
1.16,66.40,15.23,0.29,0.62,11032.00,8048.93,7765.17,5994.00,1065.18,120734.00,54.00,15.56,64.48,3.12,0.63,0.06
5.34,67.77,15.21,0.22,0.78,16103.00,9608.91,8976.15,6294.00,2459.01,730277.00,208.00,15.74,65.85,2.98,0.55,0.47
2.28,69.64,17.76,0.39,0.49,16195.00,9075.10,8083.04,6353.00,2483.91,263178.00,92.00,18.13,67.18,2.78,0.62,0.16
0.17,70.38,14.50,0.00,1.92,6357.00,5611.33,5185.00,5185.00,529.07,16834.00,14.00,14.57,68.85,1.05,0.64,0.00
0.14,70.11,15.99,0.25,0.44,6013.00,5499.67,5221.00,5221.00,363.43,16499.00,14.00,16.04,68.23,1.83,0.64,0.00
10.29,70.22,14.75,0.40,0.47,46885.00,14228.50,11818.50,5894.00,7515.59,3542900.00,436.00,15.41,68.46,2.73,0.65,1.62
0.31,71.66,18.16,0.60,0.23,6454.00,5900.20,5692.08,5648.00,289.34,29501.00,22.00,18.25,69.26,2.17,0.61,0.01
4.05,71.35,17.90,0.33,0.52,28767.00,9687.80,7584.52,5593.00,4823.44,629707.00,168.00,18.35,68.88,3.03,0.61,0.36
0.32,71.50,15.02,0.07,0.96,7761.00,6573.00,6606.30,5168.00,924.51,26292.00,18.00,15.15,69.82,2.84,0.74,0.01
0.73,71.71,14.05,0.46,0.40,8760.00,7698.57,7163.49,6823.00,739.81,53890.00,26.00,14.30,70.22,2.81,0.70,0.03
0.43,72.52,14.64,0.49,0.28,9153.00,6638.20,5678.39,5595.00,1326.23,33191.00,22.00,14.90,70.91,2.88,0.64,0.01
0.44,72.92,14.21,0.32,0.46,9273.00,7700.00,7036.59,6337.00,1112.96,30800.00,18.00,14.39,71.44,2.79,0.77,0.02
0.17,72.24,2.50,0.25,0.44,6046.00,5584.00,5214.00,5214.00,345.84,16752.00,14.00,2.57,72.16,2.01,0.74,0.00
0.32,72.28,1.59,0.39,0.38,7443.00,6502.75,6209.23,5698.00,640.03,26011.00,18.00,1.73,72.23,2.20,0.78,0.01
7.18,72.62,1.44,0.38,0.50,24913.00,9836.12,8723.16,5363.00,3437.41,914759.00,282.00,1.93,72.54,2.84,0.45,0.55
0.37,72.55,2.62,0.16,0.84,9359.00,8261.25,7858.19,6763.00,1030.63,33045.00,18.00,2.80,72.43,3.01,0.75,0.01
0.22,74.37,13.96,0.23,0.37,7540.00,6220.50,5630.72,5545.00,797.77,24882.00,18.00,14.14,72.99,1.57,0.67,0.01
0.73,74.62,14.18,0.17,0.54,9079.00,6613.50,6385.56,5023.00,1051.89,66135.00,42.00,14.30,73.20,2.40,0.58,0.03
0.30,75.13,14.19,0.23,0.37,7890.00,7368.00,7413.83,6740.00,410.05,29472.00,18.00,14.27,73.73,2.09,0.74,0.01
0.46,74.90,14.00,0.39,0.38,8300.00,6715.75,6216.08,5672.00,981.04,26863.00,18.00,14.26,73.47,2.95,0.74,0.02
3.77,73.79,3.60,0.43,0.44,19428.00,7886.85,7324.35,4743.00,2687.79,378569.00,158.00,4.11,73.61,3.08,0.52,0.26
12.93,74.03,0.54,0.34,0.51,44556.00,13416.90,10787.90,5440.00,7106.81,2938300.00,510.00,1.29,73.98,2.59,0.46,1.37
0.95,74.82,2.58,0.22,0.45,10515.00,8287.63,7765.92,6447.00,1293.62,66301.00,34.00,2.77,74.76,1.32,0.64,0.04
6.10,74.92,1.99,0.30,0.63,39735.00,13308.40,11120.40,6286.00,6468.16,1277610.00,246.00,2.54,74.83,2.60,0.57,0.60
15.56,62.79,13.03,0.36,0.54,65535.00,17263.10,12111.60,6585.00,12419.50,4971770.00,618.00,14.01,61.13,3.10,0.46,1.82
0.15,63.63,14.38,0.39,0.47,8568.00,8372.33,7983.00,7983.00,275.31,25117.00,14.00,14.47,61.91,2.56,0.78,0.00
5.36,65.50,15.77,0.29,0.51,30866.00,13842.10,12389.00,6609.00,4995.22,1439580.00,230.00,16.25,63.37,3.20,0.68,0.66
2.75,66.09,17.35,0.28,0.66,17164.00,9529.88,9419.06,5220.00,2613.67,400255.00,112.00,17.85,63.55,3.30,0.70,0.25
0.27,66.58,17.42,0.32,0.46,9518.00,8780.50,8530.43,7995.00,571.92,35122.00,18.00,17.55,64.10,4.01,0.78,0.01
0.07,66.25,16.44,0.39,0.47,5545.00,5179.67,4943.00,4943.00,262.07,15539.00,14.00,16.52,64.13,1.95,0.75,0.00
6.29,66.47,16.27,0.56,0.30,35731.00,12703.70,10639.00,5854.00,5327.79,1308480.00,258.00,16.76,64.24,3.15,0.57,0.64
1.97,66.55,13.15,0.44,0.33,15407.00,8449.85,7265.98,5290.00,2721.26,219696.00,78.00,13.50,65.08,3.38,0.71,0.16
1.04,67.35,16.63,0.37,0.47,17816.00,12399.60,11356.50,7914.00,2637.94,123996.00,32.00,16.83,65.13,3.26,0.79,0.07
